sentence_id,text
0,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
1,"The iShares Asia Trust, the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF have been authorised as collective investment schemes by the Hong Kong Securities and Futures Commission."
2,Authorisation by the Securities and Futures Commission is not a recommendation or endorsement of a product nor does it guarantee the commercial merits of a product or its performance.
3,It does not mean the product is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
4,"IMPORTANT: Investments involve risks, including the loss of principal."
5,Investors are advised to consider their own investment objectives and circumstances in determining the suitability of an investment in the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF.
6,An investment in the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF may not be suitable for everyone.
7,"If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
8,PROSPECTUS iShares Core Hang Seng Index ETF (HKD Counter Stock Code: 03115) (RMB Counter Stock Code: 83115) (USD Counter Stock Code: 09115) iShares Hang Seng TECH ETF (HKD Counter Stock Code: 03067) (USD Counter Stock Code: 09067) iShares Asia Trust A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
9,"571) of Hong Kong Listing Agent and Manager BlackRock Asset Management North Asia Limited 貝萊德資產管理北亞有限公司 30 April 2021 i IMPORTANT INFORMATION This Prospectus relates to the offer in Hong Kong of Units in the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF, sub-funds of the iShares Asia Trust (the “Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated 16 November 2001 between Barclays Global Investors North Asia Limited (now known as BlackRock Asset Management North Asia Limited) (the “Manager”) and HSBC Institutional Trust Services (Asia) Limited (the “Trustee”) as amended from time to time."
10,"The Manager accepts full responsibility for the accuracy of the information contained in this Prospectus and for the accuracy and fairness of the opinions expressed (at the date of its publication), and confirm that this Prospectus includes particulars given in compliance with the Rules Governing the Listing of Securities on The Stock Exchange of Hong Kong Limited (the “SEHK”) and the Code on Unit Trusts and Mutual Funds (the “Code”) and the Overarching Principles of the SFC Handbook for Unit Trusts and Mutual Funds, Investment-Linked Assurance Schemes and Unlisted Investment Products for the purposes of giving information with regard to the Units of the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF and that having made all reasonable enquiries, the Manager confirms that, to the best of its knowledge and belief that the information contained in this Prospectus is true, accurate and complete in all material respects and not misleading; there are no other matters the omission of which would make any statement in this Prospectus misleading, whether of fact or opinion; any inferences that might reasonably be drawn from any statement in the Prospectus are true and are not misleading; and all opinions and intents expressed in this Prospectus have been arrived at after due and careful consideration and are founded on bases and assumptions that are fair and reasonable."
11,"The Trustee is not responsible for the preparation of this Prospectus and shall not be held liable to any person for any information disclosed in this Prospectus, except for the information regarding the Trustee itself under “Trustee and Registrar”."
12,The iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF are funds falling within Chapter 8.6 of the Code.
13,"The Trust, the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF are authorised by the Securities and Futures Commission (the “SFC”) in Hong Kong pursuant to section 104 of the Securities and Futures Ordinance."
14,"The SFC takes no responsibility for the financial soundness of the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF, or for the correctness of any statements made or opinions expressed in this Prospectus."
15,"Authorisation by the SFC is not a recommendation or endorsement of the Trust, the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF nor does it guarantee the commercial merits of the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF or their performance."
16,It does not mean the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
17,"Applicants for Units shall undertake to the Manager and the Trustee that, to the best of their knowledge, the monies used to invest in Units in the iShares Core Hang Seng Index ETF or the iShares Hang Seng TECH ETF are not sourced from mainland China."
