sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,"This Sixth Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 19 September 2022, First Addendum dated 1 February 2023, Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023 , Fourth Addendum dated 4 December 2023 and Fifth Addendum dated 30 April 2024."
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the content s of this document."
3,Authorization by the Securities and Futures Commission is not a r ecommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) Sixth Addendum Dated 23 September 2024 To the Prospectus Dated 19 September 2022 This Sixth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 19 September 2022 , the First Addendum dated 1 February 2023 , Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023, Fourth Addendum dated 4 December 2023 and Fifth Addendum dated 30 April 2024 (together, the ""Prospectus"") in relation to Tracker Fund of Hong Kong ("" TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Sixth Addendum and the Prospectus, this Sixth Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby amended and supplemented as follows: 1.
12,All references to “business day” and “business days” in the Prospectus shall be deemed to be deleted in their entirety and replaced by the terms “Business Day” and “Business Days” respectively.
13,The fifth paragraph under the section headed “IMPORTANT INFORMATION” of the Prospectus shall be deemed to be deleted in its entirety and replaced by the following: “The Units are offered for subscription solely on the basis of the information contained and representations made in this prospectus.
14,The latest available annual report and accounts and semi-annual report and accounts of TraHK will accompany this prospectus and form an integral part of this prospectus.
15,"Although every effort has been taken to ensure the accuracy of the facts and matters set out in this prospectus, in the event of any inconsistency between the information contained in this prospectus and either of: (i) the Trust Deed (the “Trust Deed”) constituting TraHK and made between State Street Bank and Trust Company (the “Trustee”), State Street Global Advisors Asia Limited (formerly known as State Street Global Advisors (HK) Limited) as the then existing manager (“SSGAAL”) and Exchange Fund Investment Limited (the “Promoter”) dated 23 October 1999, as amended and restated by way of the third amended and restated deed made between the Manager and the Trustee dated 23 September 2024, or (ii) the form of the Participation Agreement (as defined in Appendix I – “Definitions”), the Trust Deed or the Participation Agreement (as applicable) shall prevail."
16,"With effect from 19 September 2022, the Manager was appointed simultaneously with the retirement of SSGAAL as the manager of TraHK, pursuant to a Deed of Retirement and Appointment of Manager dated 19 September 2022."
17,"No person is authorised in connection with the issue of Units to give any information, or to make any representation not contained in this prospectus, and any information or representation not contained herein must not be relied upon as having been authorised by either of the Manager or any of its directors or any other persons involved in the issue of Units pursuant to the offer contained in this prospectus.” 3."
18,The sub-section headed “Supervisory Committee ” under the section headed “SUMMARY” of the Prospectus shall be deemed to be deleted in its entirety and replaced by the following: “The Supervisory Committee has the power to direct and the duty to oversee the Trustee and the Manager on matters relating to the management and administration of TraHK.
19,The Supervisory Committee currently consists of six (6) members.
20,See the section headed “TraHK – Administrative Provisions of the Trust Deed”.
21,The first paragraph in the part headed “ Reporting” under the sub -section headed “Administrative Provisions of the Trust Deed ” under the section headed “ TRAHK” of the Prospectus shall be deemed to be deleted in its entirety and replaced by the following: “TraHK’s financial year ends on 31 December each year.
22,The Manager will arrange for annual financial reports to be prepared and made available in respect of TraHK and audited by TraHK’s auditors (who are currently KPMG).
23,"Such accounts, along with reports prepared and made available by the Manager and the Trustee will be published and forwarded or made available to Unitholders and posted on the TraHK website within four months of the end of TraHK’s financial year."
24,"In add ition, the Manager will procure that unaudited interim reports will be published for the period ending 30 June and forwarded or made available to Unitholders and posted on the TraHK website within two months of the end of that period."
25,The contents of these reports will comply with the requirements of the SFC Code.” 5.
26,"The first paragraph under the part headed “The Supervisory Committee” under the part headed “Removal/Retirement of the Manager, the Trustee and the Promotor ” under the sub-section headed “ Administrative Provisions of the Trust Deed ” under the section headed “TRAHK” of the Prospectus shall be deemed to be deleted in its entirety and replaced by the following: “The Supervisory Committee currently consists of six members (up to seven members are permitted)."
27,"On an on -going basis, appointments to and removals from the Supervisory Committee shall be made by the Supervisory Committee itself."
28,The Supervisory Committee meets as and when required and at least quarterly.
29,"Under the terms of the Trust Deed, certain matters require the approval of the Supervisory Committee."
30,"In addition, the Supervisory Committee has the power to direct and the duty to oversee the Trustee and the Manager on matters relating to the management and administration of TraHK."
