sentence_id,text
0,"5179464-v0.7 10-40597331 The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly di sclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
1,Authorization by the Securities and Futur es Commission is not a recommendation or endorsement of TraHK nor does it guarantee the c ommercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
3,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HK SAR Government."
4,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
5,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 Fourth Addendum Dated 19 February 2016 To The Prospectus Dated 24 June 2011 This Fourth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 June 2011, the first addendum d ated 29 August 2014, the second addendum dated 31 December 2014 and the third adden dum dated 30 April 2015 (together, the "" Prospectus "") in relation to Tracker Fund of Hong Kong ("" TraHK "")."
6,All information contained in the Prospectus is deemed to be incorpo rated herein.
7,"In the case of any conflict between this Fourth Addendum and the Prospectus, this Fourth Addendum shall prevail."
8,"If you are in any doubt about this Addendum, you sh ould consult your stockbroker, bank manager, solicitor, professional accountant or othe r professional adviser."
9,"This Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 June 2011, the first addendum dated 29 August 2014, the second addendum dated 31 December 2014 and the third addendum dated 30 April 2015."
10,5179464-v0.7 10-40597331 Words and expressions not specifically defined here in will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby supplemented as follows: 1.
12,"The definition of ""Bank"" in the section entitled "" Appendix I – Definitions "" at page I-1 of the Prospectus shall be deemed to be removed and replaced by the definition as follows: """" Bank "" means an authorized institution within the meanin g of the Banking Ordinance (Cap."
13,"155) of Hong Kong and which has a credit rati ng category of at least AA as determined by the credit ratings business of Standa rd & Poor's and/or a credit rating category of at least Aa by the credit ratings business of Moody's; "" 2."
14,"The section entitled "" Number of Constituents "" under Appendix II (The Hang Seng Index) to the Prospectus shall be deemed to be deleted and replaced with the following: ""Number of Constituents On 31 January 2016, the number of constituent compa nies in the Hang Seng Index was 50."
15,The constituent companies which comprise the Hang S eng Index include H-share constituents and may be changed by HSIL from time t o time.
16,The list of constituents in the Hang Seng Index will be updated and published on th e TraHK website from time to time to reflect the current composition.
17,"As at 31 January 2016, the 10 largest constituent stocks by weighting of the Hang Seng Index were as follows: Issuer of Index Share HSI weighting Tencent Holdings Ltd."
18,10.68% HSBC Holdings plc 9.89% China Mobile Ltd.
19,8.25% AIA Group Ltd.
20,8.09% China Construction Bank Corp.
21,6.24% Industrial and Commercial Bank of China Ltd.
22,4.66% CK Hutchison Holdings Ltd.
23,4.08% Bank of China Ltd.
24,3.78% Hong Kong Exchanges & Clearing Ltd.
25,3.06% Ping An Insurance (Group) Co.
26,of China Ltd.
27,"2.85% "" 3."
28,"The section entitled "" Fees, Costs and Expenses Payable by TraHK – The Reg istrar "" of the Prospectus shall be deemed to be removed and re placed with the following to reflect the monthly fee scale of the registrar of TraHK, Comput ershare Hong Kong Investor Services Limited effective from 1 May 2015: ""The Registrar Computershare Hong Kong Investor Services Limited a cts as registrar under the terms of the registrar agreement entered into among the Trustee, the Manager and the Registrar (the “Registrar Agreement”)."
29,The Registrar charges a mon thly fee in respect of the establishment 5179464-v0.7 10-40597331 and maintenance of the register of Unitholders.
30,"Suc h fee is charged on the basis of the number of Unitholders on the register following the fee scale below: HK$ (per month) First 2,000 Unitholders…………………………………………………… …… 12,000 Every additional 1,000 Unitholders up to 100,000 Unitholders…………… …… 2,650 Every additional 1,000 Unitholders above 100,000 Unitholders………… …… 2,250 Maximum aggregate fee……………………………………………………… 1,00 0,000 In addition, the Registrar is reimbursed for all of its out-of-pocket expenses incurred in connection with performing its services such as the cost of postage, envelopes and the Unit certificates."
31,The Registrar’s fees and its out-of-p ocket expenses in respect of the registration and transfer of Units are paid out of the assets of TraHK.
32,Unitholders whose names are registered on the regis ter of Unitholders at each Record Date may be required to contribute to certain of the reg istration charges related to the upkeep of the register.
33,"Currently, these charges are up to a maximum of HK$80 per Unitholder per year."
34,"Such charges will be deducted on a half-yearly basi s from the distributions payable to the relevant Unitholders."" The Manager accepts full responsibility for the acc uracy of the information contained in this Fourth Addendum as at the date of publication and c onfirms, having made all reasonable enquiries, that to the best of its knowledge and be lief there are no other facts the omission of which would make any statement in this Fourth Addendum misleading."
