sentence_id,text
0,"IMPORTANT: If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent professional financial advice."
1,CICC Carbon Futures ETF is a futures-based exchange traded fund.
2,Investment in the CICC Carbon Futures ETF is only suitable to those investors who are in a financial position to assume the risks involved in futur es investments.
3,"Futures investments are subject to certain key risks including leverage, counterparty and liquidity risks."
4,Movement in the prices of futures may be highly volatile.
5,The CICC Carbon Futures ETF may not be suitable for all investors.
6,It is possible that the entire value of your investment could be lost.
7,Please refer to the “Risk Factors” section in this Prospectus as well as the “Risk factors Specific to the Sub-Fund” section in the Appendix.
8,Investors should note that this Prospectus relat es to Sub-Funds which may offer (i) both exchange -traded class of Units and unlisted (not exchange-traded) class of Units; (ii) exchange-traded class of Units only; or (iii) unlisted (not exchange-traded) class of Units only.
9,CICC Fund Series (a Hong Kong umbrella unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
10,"571) of Hong Kong) PROSPECTUS Manager China International Capital Corporation Hong Kong Asset Management Limited 18 March 2022 Hong Kong Exchanges and Clearing Limited (“HKEX”), The Stock Exchange of Hong Kong Limited (the “SEHK”), Hong Kong Securities Clearing Company Limited (“HKSCC”) and the Hong Kong Securities and Futures Commission (the “SFC”) take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
11,The Trust a nd each Sub- Fund have each been authorised as collective investment schemes by the SFC.
12,SFC authorisation is not a recommendation or endorsement of a scheme nor does it guarantee the commercial merits of a scheme or its performance.
13,It does not mean the scheme is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
14,"i IMPORTANT INFORMATION This Prospectus relates to the offer in Hong Kong of units (the “Units”) in the CICC Fund Series (the “Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated 5 November 2018 , as amended and restated by an amended and restated trust deed dated 12 November 2019, as amended and supplemented from time to time (the “Trust Deed”) in each case entered into between China International Capital Corporation Hong Kong Asset Management Limited (the “Manager”) and Brown Brothers Harriman Trustee Services (Hong Kong) Limited (the “Trustee”)."
15,The Trust can have a number of sub -funds (the “ Sub-Funds” or individually a “ Sub-Fund”).
16,"Where specified in the relevant Appendix, a Sub -Fund may issue (i) both Listed Class Units (i.e."
17,exchange -traded class of Units) and Unlisted Class Units (i.e.
18,"not exchange-traded class of Units), (ii) Listed Class Units only, or (iii) Unlisted Class Units only."
19,The information contained in this Prospectus has been prepared to assist potential investors in making an informed decision in relation to investing in a Sub-Fund.
20,It contains important facts about each Sub -Fund whose Units are offered in accordance with this Prospectus.
21,"A product key facts statement which contains the key features and risks of each Sub-Fund is also issued by the Manager and such product key facts statements shall form part of this Prospectus, and shall be read, in conjunction with, this Prospectus."
22,"For a Sub -Fund which issues both Listed Class Units and Unlisted Class Units, a separate set of product key facts statement will be available for the Listed Class Units and Unlisted Class Units."
23,"The Manager accepts full responsibility for the accuracy of the information contained in this Prospectus and confirms having made all reasonable enquirie s, that to the best of its knowledge and belief there are no other facts the omission of which would make any statement misleading."
24,"The Manager also confirms that this Prospectus includes particulars given in compliance with the Code on Unit Trusts and Mutual Funds (the “Code”), the “Overarching Principles” of the SFC Handbook for Unit Trusts and Mutual Funds, Investment-Linked Assurance Schemes and Unlisted Structured Investment Products, and (in respect of the Listed Class Units) the Rules Governing the Listing of Securities on the Stock Exchange of Hong Kong Limited for the purposes of giving information with regard to the Units of each Sub -Fund."
