sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,"This Seventh Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 19 September 2022 , First Addendum dated 1 February 2023, Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023, Fourth Addendum dated 4 December 2023, Fifth Addendum dated 30 April 2024 and Sixth Addendum dated 23 September 2024."
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the content s of this document."
3,Authorization by the Securities and Futures Commission is not a r ecommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) Seventh Addendum Dated 23 April 2025 To the Prospectus Dated 19 September 2022 This Seventh Addendum forms an integral part of and should be read in conjunction with the prospectus dated 19 September 2022 , the First Addendum dated 1 February 2023, Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023, Fourth Addendum dated 4 December 2023, Fifth Addendum dated 30 April 2024 and Sixth Addendum dated 23 September 2024 (together, the "" Prospectus"") in relation to Tracker Fund of Hong Kong (""TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Seventh Addendum and the Prospectus, this Seventh Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby amended and supplemented as follows: 1.
12,"The risk factor headed “ Concentration of the Hang Seng Index in certain economic sectors and companies ” under the sub-section headed “Hang Seng Index Risk Factors” under section headed “ RISK FACTORS ” of the Prospectus shall be deemed to be deleted in its entirety and replaced with the following: “Concentration of the Hang Seng Index in certain economic sectors and companies As at 31 March 2025, the industry weightings for Financials and Consumer Discretionary accounted for approximately 32.31% and 27.80% of the Hang Seng Index respectively."
13,"As a result, variations in the performance of these sectors could have a larger effect on the price of Units than a similar variation in the performance of other sectors comprised in the Hang Seng Index."
14,Declines in the share price of companies in the Hang Seng Index may result in declines in the price of Units.” 2.
15,"The fourth paragraph under the part headed “The Supervisory Committee” under the part “Removal/Retirement of the Manager, the Trustee and the Promoter ” under the sub- section headed “Administrative Provisions of the Trust Deed” under the section headed “TRAHK” shall be deemed to be deleted in its entirety and replaced with the following: “The current members of the Supervisory Committee are: (a) Mr."
16,George Hongchoy: Mr.
17,Hongchoy is the Chairman of the Supervisory Committee.
18,He is currently the Executive Director and Chief Executive Officer of Link Asset Management Limited (the manager of Hong Kong listed Link Real Estate Investment Trust).
19,"He is t he Chairman and Honorary Founding President of Hong Kong REITS Association, a trustee of the University of Pennsylvania, an adjunct professor of the Department of Real Estate and Construction of The University of Hong Kong, a trustee of the Urban Land Inst itute and an advisor of Our Hong Kong Foundation."
20,"He is a Senior Fellow of Hong Kong Securities and Investment Institute, a Fellow Member of the Hong Kong Institute of Certified Public Accountants, the Chartered Accountants Australia and New Zealand, the Hong Kong Institute of Directors, the Royal Institution of Chartered Surveyors and the Institute of Shopping Centre Management."
21,"Hongchoy holds a Bachelor of Commerce degree from the University of Canterbury and an MBA degree from The Wharton School, University of Pennsylvania."
22,(b) Professor Kalok Chan: Prof.
23,Kalok Chan is currently Dean of the College of Business and Chair Professor of Finance at City University of Hong Kong (CityU) since November 2023.
24,"Before joining CityU, Prof."
25,Chan was Wei Lun Professor of Finance and Chair of the Department of Finance of The Chinese University of Hong Kong (CUHK) Business School.
26,He was the Dean of CUHK Business School from 2014 to 2019.
27,"Prior to that, Prof."
28,"Chan was the Synergis-Geoffrey Yeh Professor of Finance at the Hong Kong University of Science and Technology (HKUST), where he had served as the Head of Finance Department (2003-2013) and Acting Dean of HKUST Business School (2013- 2014)."
29,He was the Founding Direc tor of the HKUST -NYU Stern Joint Master in Global Finance programme.
30,"Prior to joining HKUST, he was an Associate Professor of Finance at Arizona State University."
31,"Chan was the past President of Asian Finance Association and currently serves in a number of committees, including Human Capital Committee of HK Financial Services and Development Council, Hong Kong Academy of Finance, HKIMR Council of Advisers for Applied Research and Process Review Panel of the Securities and Futures Commission."
32,"Chan obtained his BSSc in Economics from CUHK, and PhD in Finance from Ohio State University."
33,(c) Mr.
34,Paul Chow: Mr.
35,"Chow is Group Chief Sustainability Officer and Group General Counsel at HKEX, and is a member of its Management Committee."
36,"Prior to joining HKEX, Mr."
37,Chow worked at Cathay Pacific Airways where he was Group General Counsel and Company Secretary.
38,"He was a partner at Davis Polk Wardwell LLP, Linklaters and Slaughter and May advising clients on corporate finance and capital markets."
