sentence_id,text
0,MAIN\CHWINN\20768184_2.docx MIRAE ASSET HORIZONS EXCHANGE TRADED FUNDS SERIES (A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
1,"571) of Hong Kong) Mirae Asset Horizons S&P Global Consumer Brands ETF (Stock Code: 3056) Mirae Asset Horizons MSCI China ETF (Stock Code: 3040) Mirae Asset Horizons Hang Seng High Dividend Yield ETF (Stock Code: 3110) Mirae Asset Horizons CSI 300 ETF (RMB Counter Stock Code: 83127 HKD Counter Stock Code: 03127) PROSPECTUS 22 February 2018 The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission (the “Commission”) take no responsibility for the contents of thi s prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this prospectus."
2,The Commission's authorisation is not a recommendation or endorsement of a scheme nor does it guarantee the commercial merits of a scheme or its performance.
3,It does not mean the scheme is suitable for all investors nor is it an endorsement of its suitability for any particular investo r or class of investors.
4,"IMPORTANT: If you are in any doubt about the contents of this prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
5,MAIN\CHWINN\20768184_2.docx CONTENTS PARTIES 2 PRELIMINARY 4 DEFINITIONS 6 PART 1- GENERAL INFORMATION RELATING TO THE TRUST 13 THE TRUST 13 MANAGEMENT AND ADMINISTRATION 13 INVESTMENT OBJECTIVES AND POLICIES 19 RISK FACTORS 22 INVESTMENT AND BORROWING RESTRICTIONS .
6,33 CREATION AND REALISATION OF APPLICATION UNITS 37 TRADING OF UNITS ON THE SEHK 46 DETERMINATION OF NET ASSET VALUE 47 SUSPENSION OF DEALING OR DETERMINATION OF NET ASSET VALUE 49 SUSPENSION OF DEALING IN UNITS ON THE SEHK 51 DISTRIBUTION POLICY 52 FEES AND CHARGES 53 TAXATION .
7,"56 OTHER IMPORTANT INFORMATION 59 PART 2 – INFORMATION RELATING TO THE INVESTMENT FUNDS 69 APPENDIX 1 - MIRAE ASSET HORIZONS S&P GLOBAL CONSUMER BRANDS ETF 69 APPENDIX 2 – MIRAE ASSET HORIZONS MSCI CHINA ETF 79 APPENDIX 3 – MIRAE ASSET HORIZONS HANG SENG HIGH DIVIDEND YIELD ETF 90 APPENDIX 4 – MIRAE ASSET HORIZONS CSI 300 ETF 100 2 MAIN\CHWINN\20768184_2.docx PARTIES Manager Mirae Asset Global Investments (Hong Kong) Limited Level 15, Three Pacific Place 1 Queen’s Road East Hong Kong Trustee Cititrust Limited 50/F., Champion Tower 3 Garden Road, Central Hong Kong PRC Custodian @ Industrial and Commercial Bank of China Limited 55 Fuxingmennei Street, Xicheng District Beijing China P.C:100140 Custodian Citibank, N.A."
8,"50/F., Champion Tower 3 Garden Road, Central Hong Kong Administrator Citibank, N.A., Hong Kong Branch 50/F., Champion Tower 3 Garden Road, Central Hong Kong Legal Adviser to the Manager Simmons & Simmons 13/F, One Pacific Place 88 Queensway Hong Kong Auditors Ernst & Young 22/F, CITIC Tower 1 Tim Mei Avenue, Central Hong Kong @ In respect of Mirae Asset Horizons CSI 300 ETF only."
9,"3 MAIN\CHWINN\20768184_2.docx Directors of the Manager Park, Hyeon Joo Rhee, Jung Ho Kim, Byung Ha Kapala, Srinivasa Rao Service Agent HK Conversion Agency Services Limited 2nd Floor, Infinitus Plaza 199 Dex Voeux Road Central Hong Kong Registrar Computershare Hong Kong Investor Services Limited 46/F, Hopewell Centre 183 Queen’s Road East, Wanchai Hong Kong Market Makers* Please refer to the Appendix of the relevant Investment Fund Participating Dealers* Please refer to the Appendix of the relevant Investment Fund Tax Adviser to the Manager (PRC tax) Ernst & Young (China) Advisory Limited Beijing Branch Office Level 6, Ernst & Young Tower Oriental Plaza No."
10,"1 East Chang An Avenue Dong Cheng District Beijing China 100738 Tax Adviser to the Manager (FATCA) Deloitte Touche Tohmatsu 35/F, One Pacific Place 88 Queensway Hong Kong * Please refer to the Manager’s website for the latest lists of Market Makers and Participating Dealers."
11,"4 MAIN\CHWINN\20768184_2.docx PRELIMINARY This Prospectus has been prepared in connection with the offer in Hong Kong of Units in the Investment Funds, each being sub -funds of Mirae Asset Horizons Exchange Traded Funds Series (formerly known as Horizons Exchange Traded Funds Series) (the “ Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated on 23 December 2010 as amended by supplemental deeds dat ed 16 December 2011, 23 December 2011, 5 November 2012, 14 May 2013, 3 September 2014, 16 November 2015 , 11 August 2016, 29 September 2016, 5 October 2016 and 24 November 2016 respectively, between Mirae Asset Global Investments (Hong Kong) Limited (the “Manager”) and Cititrust Limited (the “Trustee”)."
12,"The Manager accepts full responsibility for the accuracy of the information contained in this Prospectus and confirm, having made all reasonable enquiries, that to the best of their knowledge and belief, there are no other facts the omission of which would make any statement misleading and that this Prospectus includes particulars given in compliance with the Rules Governing the Listing of Securities on The Stock Exchange of Hong Kong Limited (the “ SEHK”), the Code on Unit Trusts and Mutual Funds (the “ Code”) and the “Overarching Principles” of the SFC Handbook for Unit Trusts and Mutual Funds, Investment -Linked Assurance Schemes and Unlisted Structured Investment Products for the purposes of giving information with regard to the units of the Investment Funds; any inferences that might reasonably be drawn from any statement in the prospectus are true and are not misleading; and all opinions and intents expressed in this Prospectus have been arrived at after due and careful consideration and are founded on bases and assumptions that are fair and reasonable."
13,"The Trustee is not responsible for the preparation of this Prospectus and is therefore not responsible for its contents, apart from descriptions of or relating to Cititrust Limited as the Trustee on page 16 of this Prospectus."
14,"Applicants for Units should consult their financial advisers and take legal advice as appropriate as to whether any governmental or other consents are required, or other formalities need to be observed, to enable them to acquire Units and as to whether any taxation effects, foreign exchange restrictions or exchange control requirements are applicable."
15,The Units of Investment Funds are listed on the SEHK.
16,"The Units of Investment Funds have been accepted as eligible securities by Hong Kong Securities Cleari ng Company Limited (“HKSCC”) for deposit, clearing and settlement in the Central Clearing and Settlement System (“CCASS”)."
17,All activities under CCASS are subject to the General Rules of CCASS and CCASS Operational Procedures in effect from time to time.
18,No action has been taken to permit an offering of Units or the distribution of this Prospectus in any jurisdiction other than Hong Kong where action would be required for such purposes.
19,"Accordingly, this Prospectus may not be used for the purpose of an of fer or solicitation in any jurisdiction or in any circumstances in which such offer or solicitation is not authorized."
20,"Distribution of this Prospectus shall not be permitted unless it is accompanied by a copy of the latest annual report and accounts of the Trust (where existing) and, if later, its most recent interim report, which form a part of this Prospectus."
21,The Trust is not registered as an investment company with the United States Securities and Exchange Commission.
22,"Units have not been, and will not be, registered under the United States Securities Act of 1933 or any other United States Federal or State law and accordingly Units are not offered to, and may not be transferred to or acquired by, US persons (including without limitation US citizens and r esidents as well as business entities organized und er United States’ law), except under any relevant exemption."
23,5 MAIN\CHWINN\20768184_2.docx The Manager shall have the power to impose such restrictions as the Manager may think necessary for the purpose of ensuring that no Units in any Investment Fund are acquired or held by an Unqualified Person (as defined in the “Definitions” section).
24,"Potential applicants for Units in the Investment Funds should inform themselves as to (a) the possible tax consequences, (b) the legal requirements an d (c) any foreign exchange restrictions or exchange control requirements which they might encounter under the laws of the countries of their incorporation, citizenship, residence or domicile and which might be relevant to the subscription, holding or disposal of Units in the Investment Funds."
25,Investors should note that any amendment or addendum to this Prospectus will only be posted on the Manager’s website (www.miraeasset.com.hk)1.
26,1 The contents of this website and any other websites referred to in this Prospectus have not been reviewed by the Commission.
27,"6 MAIN\CHWINN\20768184_2.docx DEFINITIONS In this Prospectus, unless the context requires otherwise, the following expressions have the meanings set out below."
28,"“A-Shares” means shares issued by companies incorporated in the PRC and listed on the Shanghai Stock Exchange or the Shenzhen Stock Exchange, traded in RMB and available for investment by domestic investors, QFIIs, RQFIIs and any other qualified foreign investors."
29,"“Administrator” means Citibank, N.A., Hong Kong Branch, appointed by the Trustee."
30,"“Application” means, in respect of an Investment Fund, a Creation Application or a Realisation Application."
31,"“Application Basket Value” means, in respect of an Investment Fund, the aggregate value of the Index Securities fixed by the Manager for the relevant Investment Fund at the start of business on the relevant Dealing Day for the purpose of the creation an d realisation of Units in an Application Unit size, notified on the relevant date by the Manager to Participating Dealers for the relevant Investment Fund."
32,"“Application Cancellation Fee” means the fee payable by a Participating Dealer in respect of cancellation of an Application as set out in the Trust Deed, the rate of which is set out in the prospectus of the relevant Investment Fund."
33,"“Application Unit” means, in relation to each Investment Fund, such number of Units of a class or whole multiples thereo f as specified in the prospectus for the relevant Investment Fund or such other multiple of Units of a class from time to time determined by the Manager and the Trustee and notified to the Participating Dealers, either generally or for a particular class o r classes of Units."
34,“Auditors” means the auditor or auditors of the Investment Funds and the Trust from time to time appointed by the Manager with the prior approval of the Trustee pursuant to the provisions of the Trust Deed.
35,“Base Currency ” means the currency of account of an Investment Fund as specified by the Manager with the approval of the Trustee from time to time.
36,"“Basket” means, in respect of an Investment Fund, a portfolio of Index Securities, which seeks to benchmark the Underlying Index by replication strategy or otherwise provided that such portfolio shall comprise only whole numbers of Index Securities and no fraction or, if the Manager determines, shall comprise only round lots and not odd lots."
37,"“Business Day” means, unless the Manager and the Trustee otherwise agree, a day on which (a) (i) the SEHK is open for normal trading; and (ii) the relevant securities market o n which the Index Securities are traded is open for normal trading; or (iii) if there are more than one (1) such securities markets, the securities market designated by the Manager is open for normal trading, and (b) the Underlying Index is compiled and pu blished, or such other day or days as the Manager and the Trustee may agree from time to time provided that if on any such day, the period during which the relevant securities market is open for normal trading is reduced as a result of a Number 8 Typhoon S ignal, Black Rainstorm warning or other similar event, such day shall not be a Business Day unless the Manager and the Trustee otherwise agree."
