sentence_id,text
0,PRODUCT KEY FACTS AMUNDI Hang Seng HK 35 Index ETF (a sub-fund of AMUNDI ETF Series) Amundi Hong Kong Limited 26 October 2016 This is an exchange traded fund.
1,This statement provides you with key information about this product.
2,This statement is a part of the Prospectus.
3,You should not invest in this product based on this statement alone.
4,Quick facts Stock codes: 03012 – HKD counter 83012 – RMB counter Trading lot size: 500 Units – HKD counter 500 Units – RMB counter Manager: Amundi Hong Kong Limited 東方匯理資產管理香港有限公司 Trustee: BOCI-Prudential Trustee Limited 中銀國際英國保誠信託有限公司 Custodian: Ongoing charges over a year*: Bank of China (Hong Kong) Limited Estimated to be 0.33% Estimated annual tracking difference**: Estimated to be -0.70% Underlying Index: Hang Seng HK 35 Base currency: Hong Kong dollars (HKD) Trading currencies: Hong Kong dollars (HKD) – HKD counter Renminbi (RMB) – RMB counter Financial year end of this fund: 30 September Distribution policy: The Manager intends to pay distributions to Unitholders at least semi -annually (in June and December each year beginning June 2016).
5,Distributions may be made out of capital or effectively out of capital as well as income at the Manager’s discretion .
6,"Where distributions are made out of capital or effectively out of capital, this may result in an immediate reduction in the Net Asset Valu e per Unit."
7,Distributions on all Units (RMB counter Units and HKD counter Units) will be in HKD only.
8,"ETF website: www.amundietf.com.hk * As the Sub-Fund (as defined below) is newly set up, this figure is a best estimate only and represents the sum of the estimated ongoing charges expressed as a percentage of the estimated average Net Asset Value."
9,It may be different upon actual operation of the Sub -Fund and may vary from year to year.
10,The estimated ongoing charges do not represent the estimated tracking error.
11,** This is an estimated annual tracking difference.
12,Investors should refer to the Sub-Fund’s website for information on the actual tracking difference.
13,AMUNDI Hang Seng HK 35 Index ETF 2 What is this product?
14,"AMUNDI Hang Seng HK 35 Index ETF (the “Sub-Fund”) is a sub -fund of AMUNDI ETF Series , which is an umbrella unit trust established under Hong Kong law."
15,The units of the Sub-Fund (“Units”) are listed on The Stock Exchange of Hong Kong Limited (the “ SEHK”).
16,These Units are traded on the SEHK like listed stocks.
17,The Sub-Fund is a passively managed index tracking exchange traded fund under Chapter 8.6 and Appendix I of the Code on Unit Trusts and Mutual Funds (the “Code”).
18,"Objective and investment strategy Objective The investment objective of the Sub -Fund is to provide investment results that, before fees and expenses, closely correspond to the performance of the Hang Seng HK 35 (the “Index”)."
19,"Strategy In seeking to achieve the Sub -Fund’s investment objective, the Ma nager currently uses a full replication strategy through investing directly in Securities included in the Index in substantially the same weightings in which they are included in the Index."
20,"The Manager may also use a representative sampling strategy where it will invest, directly or indirectly, in a representative sample of the Securities in the Index that collectively reflects the investment characteristics of the Index."
21,Investors should note that the Manager may switch between the replication and representative sampling strategies without notice to investors and in its absolute discretion.
22,The Sub-Fund may also invest in money market funds and in cash deposits for cash management purposes although such investments are not anticipated to exceed 5% of the Net Asset Value of the Sub-Fund.
23,"The Manager may use futures contracts for the purpose of hedging only, which are not anticipated to exceed 5% of the Net Asset Value of the Sub-Fund."
24,"However, the Manager has no intention at present to invest the Sub -Fund in any other financial derivative instruments (including structured products or instruments) for hedging or non -hedging (i.e."
25,"investment) purposes, and will not enter into securities lending transactions, repurchase or reverse repurchase transactions and other similar over-the-counter transactions."
26,The Manager will seek the prior approval of the SFC and provide at least 1 month’s prior notice to Unitholders before the Manager engages in any such investments.
27,The investment strategy of the Sub -Fund is subject to the investment and borrowing restrictions set out in the Prospectus.
28,"Index The Index is a total return index which reflects the re turn from dividend reinvestment , and is free float adjusted market capitalisation weighted, with a 10% cap on individual constituent weightings."
29,It includes the 35 largest SEHK listed companies with over 50% of their respective sales revenue derived from areas outside the PRC.
30,The Index pro vides a tradable index reflecting large capitalised Hong Kong companies.
31,Hang Seng Indexes Company Limited (the “ Index Provider”) is responsible for the calculation and dissemination of the Index.
32,The Manager (and each of its Connected Persons) is independent of the Index Provider.
33,The inception date of the Index was 3 January 2000 and the Index had a base level of 2000 on 3 January 2000.
34,"As at 11 October 2016 , the Index had a total market value of HKD6,465 billion and 35 constituents."
35,"AMUNDI Hang Seng HK 35 Index ETF 3 As at 11 October 2016, the 10 largest constituents of the Index (which accounted in aggregate for 63.83% of the Index) were as follows: Rank Constituent Name Weighting (%) 1 AIA 10.60 2 HSBC Holdings 10.22 3 CKH Holdings 8.64 4 HKEx 8.02 5 SHK Ppt 5.00 6 CK Property 4.97 7 CLP Holdings 4.91 8 Link REIT 4.14 9 HK & China Gas 3.75 10 Hang Seng Bank 3.58 You can obtain the most updated list of the constituents of the Index and additional information concerning the Index (including Index fact sheets, methodology, end of day Index levels and Index performance) from the website of the Index Provider at www.hsi.com.hk."
36,"Vendor codes Vendor Code for Price Index (real-time) Code for Total Return Index (end of day, closing) Thomson Reuters .HSH35 .HSH35DV Bloomberg HSHK35 HSI 35TR What are the key risks?"
37,Investment involves risks.
38,Please refer to the Prospectus for details including the risk factors.
39,General investment risk  The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub -Fund may suffer losses.
40,There is no guarantee of the repayment of principal.
