sentence_id,text
0,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
1,The iShares Asia Trust and the iShares Core Hang Seng Index ETF have been authorised as collective investment schemes by the Hong Kong Securities and Futures Commission.
2,Authorisation by the Securities and Futures Commission is not a recommendation or endorsement of a product nor does it guarantee the commercial merits of a product or its performance.
3,It does not mean the product is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
4,"IMPORTANT: Investments involve risks, including the loss of principal."
5,Investors are advised to consider their own investment objectives and circumstances in determining the suitability of an investment in the iShares Core Hang Seng Index ETF.
6,An investment in the iShares Core Hang Seng Index ETF may not be suitable for everyone.
7,"If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
8,PROSPECTUS iShares Core Hang Seng Index ETF (HKD Counter Stock Code: 03115) (RMB Counter Stock Code: 83115) (USD Counter Stock Code: 09115) iShares Asia Trust A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
9,"571) of Hong Kong Listing Agent and Manager BlackRock Asset Management North Asia Limited 貝萊德資產管理北亞有限公司 7 September 2020 i IMPORTANT INFORMATION This Prospectus relates to the offer in Hong Kong of Units in the iShares Core Hang Seng Index ETF, a sub-fund of the iShares Asia Trust (the “Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated 16 November 2001 between Barclays Global Investors North Asia Limited (now known as BlackRock Asset Management North Asia Limited) (the “Manager”) and HSBC Institutional Trust Services (Asia) Limited (the “Trustee”) as amended from time to time."
