sentence_id,text
0,"31 December 2014 The Stock Exchange of Hong Kong Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accur acy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
1,Authorization by the Securities and Futures Commission is not a recommendati on or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
3,"The perf ormance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
4,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
5,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 Second Addendum Dated 31 December 2014 To The Prospectus Dated 24 June 2011 This Second Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 June 2011 and the first addendum dated 29 A ugust 2014 (together, the “Prospectus”) in relation to Tracker F und of Hong Kong (“ TraHK”)."
6,All information contained in the Prospectus is deemed to be incorporated herein.
7,"In the case of any conflict between this Second Addendum and the Prospectus, this Second Addendum shall prevail."
8,Words and expressions not specifically defined here in will bear the same meaning s as those attributed to them in the Prospectus.
9,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
10,This Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 June 2011 and the first addendum dated 29 August 2014.
11,6411829-v0.5 10-40248241 The Prospectus is hereby supplemented as follows: 1.
12,The third paragraph under the section entitled “ TraHK” at page v of the Prospectus shall be deemed to be deleted and replaced with the following: “The Hang Seng Index is a widely quoted indicator for the performance of the Hong Kong stock market.
13,It is currently composed of shares in 50 companies which generally have high market value and liquidity in the Hong Kong stock market.
14,Please refer to Appendix II – “The Hang Seng Index” for further details on the Hang Seng Index.” 2.
15,"The following paragraph shall be deemed to be inserted at page 8 of the Prospectus below the section entitled “Foreign exchange risks”: “Risks relating to REITs REITs listed on the Stock Exchange became eligible for selection for the Hang Seng Index starting from the index review for the quarter ended 30 September 2014, the results of which became effective on 8 December 2014."
16,"The performance of REITs may depend on various factors, such as management skills, change in value of the underlying properties, illiquidity of the investments which may affect the ability of REITs to change the investment or to liquidate part of the assets in response to changes in economic, market or other conditions, interest rate risks, changes in general and local economic conditions, taxation policies, non- renewal of expiring leases, unexpected expenditure or failure of lessees to meet their obligations."
17,"Further, REITs are in gener al subject to heavy cash flow dependency."
18,Investors should note that an investment in TraHK is not equivalent to an investment in a REIT and the dividend or payout policies of the relevant REITs may not be representative of the dividend or payout policy of TraHK.” 3.
19,"The last sentence of the first paragraph under the section entitled “Adjusting the portfolio” at page 10 of the Prospectus shall be deemed to be deleted and replaced with the following: “The Hang Seng Index currently comprises 50 constituent companies, but those constituent companies may, for a variety of reasons, change over time, both in terms of the identity of the constituent companies and the weighting of those constituent companies’ shares in the Hang Seng Index."
