sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,This Second Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 19 September 2022 and the First Addendum dated 1 February 2023.
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
3,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) Second Addendum Dated 28 April 2023 To the Prospectus Dated 19 September 2022 This Second Addendum forms an integral part of and should be read in conjunction with the prospectus dated 19 September 2022 and the First Addendum dated 1 February 2023 (together, the "" Prospectus"") in relation to Tracker Fund of Hong Kong ("" TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Second Addendum and the Prospectus, this Second Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby amended and supplemented as follows: 1.
12,Part (a) of the risk factor headed “Reliance on the same group risk” under the sub-section headed “Risk Factors Specific to TraHK” under section headed “RISK FACTORS” of the Prospectus shall be deemed to be deleted and replaced with the following: “(a) HSIL’s operations and the Manager’s investment management operations are under the responsibility of different staff and management teams.” 2.
13,"The risk factor headed “ Concentration of the Hang Seng Index in certain economic sectors and companies” under the sub-section headed “ Hang Seng Index Risk Factors ” under section headed “RISK FACTORS” of the Prospectus shall be deemed to be deleted and replaced with the following: “Concentration of the Hang Seng Index in certain economic sectors and companies As at 29 March 2023, the industry weightings for Financials and Information Technology accounted for approximately 33.94% and 29.43% of the Hang Seng Index respectively."
14,"As a result, variations in the performance of these sectors could have a larger effect on the price of Units than a similar variation in the performance of other sectors comprised in the Hang Seng Index."
15,Declines in the share price of companies in the Hang Seng Index may result in declines in the price of Units.” 3.
16,"The part headed “Secondary-listed Greater China Companies” and the subsequent three paragraphs under the section headed “ APPENDIX III – DEFINITION OF FREEFLOAT-ADJUSTED FACTOR ” of the Prospectus shall all be deemed to be deleted and replaced with the following: “Secondary-listed companies For the treatment on secondary-listed companies and the calculation of FAF, please refer to the “Index Operation Guide” available at HSIL’s website www.hsi.com.hk (this website has not been reviewed by the SFC).” The Manager accepts full responsibility for the accuracy of the information contained in this Second Addendum as at the date of publication and confirms, having made all reasonable enquiries, that to the best of its knowledge and belief there are no other facts the omission of which would make any statement in this Second Addendum misleading."
