sentence_id,text
0,"IMPORTANT: If you are in any doubt about the contents of this prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser."
1,"The Stock Exchange of Hong Kong Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this prospectus."
2,The iShares MSCI China Tracker has been authorised as a collective investment scheme by the Hong Kong Securities and Futures Commission.
3,Authorisation does not imply official approval nor a recommendation.
4,iShares MSCI China Tracker a sub-fund of the iShares Asia Trust a Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
5,"571) of Hong Kong Stock Code : 2801 PROSPECTUS LISTING AGENT BARCLAYS GLOBAL INVESTORS NORTH ASIA LIMITED June 2005 iShares MSCI China Tracker (Stock Code: 2801) Addendum to Prospectus dated June 2005 (the “Prospectus”) Important: If you are in any doubt about the contents of this Addendum, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser."
6,This Addendum forms an integral part of and should be read in conjunction with the Prospectus.
7,The Directors of Barclays Global Investors North Asia Limited accept responsibility for the information contained in this Addendum as being accurate at the date hereof.
8,"(A) References to “200,000 Units” should be amended to “600,000 Units” in the following places of the Prospectus: 1."
9,"Page 35, under the subsection “Key Information” – “In-kind Creation / Redemption (Only Participating Dealers)” 2."
10,"Page 37, in the grey box in the diagram 3."
11,"Page 38, under the subsection “Creation and Redemption by Participating Dealers” – “Application Size” 4."
12,"Page 39, under the subsection “General Risk Factors” – “The MSCI China Tracker is different from a typical unit trust offered to the public in Hong Kong” (B) The subsection “Management and Administration – The Directors of the Manager” on pages 18 and 19 of the Prospectus should be deleted in its entirety and be replaced by the following paragraphs: FRANCIS SEAN RYAN, Managing Director and Chief Financial Officer, BGI N.A."
13,"Ryan is the Chief Financial Officer of BGI, responsible for the global finance functions of BGI."
14,"Ryan spent 15 years at Bank of America in various positions, including his role as Managing Director and Chief Financial Officer of Banc of America Securities."
