sentence_id,text
0,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
1,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
3,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 Sixth Addendum Dated 28 April 2022 To the Prospectus Dated 24 December 2019 This Sixth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 December 2019, the First Addendum dated 28 April 2020, the Second Addendum dated 7 September 2020, the Third Addendum dated 9 September 2020, the Fourth Addendum dated 28 April 2021 and the Fifth Addendum dated 29 July 2021 (together, the ""Prospectus"") in relation to Tracker Fund of Hong Kong (""TraHK"")."
4,All information contained in the Prospectus is deemed to be incorporated herein.
5,"In the case of any conflict between this Sixth Addendum and the Prospectus, this Sixth Addendum shall prevail."
6,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
7,"If you are in any doubt about this Sixth Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
8,"This Sixth Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 December 2019, the First Addendum dated 28 April 2020, the Second Addendum dated 7 September 2020, the Third Addendum dated 9 September 2020, the Fourth Addendum dated 28 April 2021 and the Fifth Addendum dated 29 July 2021."
9,The Prospectus is hereby amended and supplemented as follows: 1.
10,"The sub-section entitled ""Manager"" under the section entitled ""SUMMARY"" of the Prospectus shall be deemed to be deleted and replaced with the following: ""The Manager is an indirect wholly-owned subsidiary of State Street Corporation, and is a part of State Street Global Advisors (""SSGA""), the investment division of State Street Corporation."
11,"SSGA is one of the largest investment managers in the world, managing approximately US$4.14 trillion as of 31 December 2021 spanning both active and index disciplines."
12,"SSGA has over 500 investment professionals worldwide, 10 investment centres and a 24-hour global trading capability with trading desks in Boston, London and Hong Kong."" 2."
13,"The sub-section entitled ""The Investment Delegate"" under the section entitled ""SUMMARY"" of the Prospectus shall be deemed to be deleted and replaced with the following: ""The Investment Delegate State Street Global Advisors, Australia, Limited (the ""Investment Delegate"") is a company incorporated under the laws of Australia."
14,"The Investment Delegate is the holder of an Australian Financial Services Licence and is authorised and regulated by the Australian Securities and Investments Commission in the conduct of its financial services business to provide portfolio management, client service and operational professionals who have significant investment experience in the local market."
15,"The Investment Delegate also offers a broad range of investment strategies, covering various asset classes (cash, currency, equities, fixed income, multi-asset class), risk profiles (indexing, smart beta, enhanced, active quant, active fundamental), and investment vehicles (segregated mandates, managed funds and SPDR ETFs)."
16,"With rapid growth in the last two decades, the Investment Delegate is now ranked as one of the largest investment managers in Australia with AUD$345.6 billion in assets under management as at 31 December 2021."
17,"Please refer to the section entitled ""GENERAL"" - ""Manager's Business Continuity Planning"" for further details on the business continuity procedures."" 3."
18,"The sub-section entitled ""Concentration of the Hang Seng Index in certain economic sectors and companies"" under the section entitled ""Hang Seng Index Risk Factors"" under the section entitled ""Risk Factors"" of the Prospectus shall be deemed to be deleted and replaced with the following: ""Concentration of the Hang Seng Index in certain economic sectors and companies As at 28 February 2022, the industry weightings for Financials and Properties and Construction accounted for approximately 38.70% and 7.83% of the Hang Seng Index respectively."
19,"As a result, variations in the performance of these sectors could have a larger effect on the price of Units than a similar variation in the performance of other sectors comprised in the Hang Seng Index."
20,"Declines in the share price of companies in the Hang Seng Index may result in declines in the price of Units."" 4."
21,"The fourth paragraph under the section entitled ""The Supervisory Committee"" of the Prospectus shall be deemed to be deleted and replaced with the following: ""The current members of the Supervisory Committee are: (a) Mr."
22,George Hongchoy: Mr.
23,Hongchoy is the Chairman of the Supervisory Committee.
24,"He is currently the Executive Director and Chief Executive Officer of Link Asset Management Limited (the manager of Hong Kong listed Link Real Estate Investment Trust), a trustee of the University of Pennsylvania, a global trustee of the Urban Land Institute and an advisor of Our Hong Kong Foundation Limited."
25,"He is a Senior Fellow and member of the Corporate Advisory Council of Hong Kong Securities and Investment Institute, Fellow Member of the Hong Kong Institute of Certified Public Accountants, the Chartered Accountants Australia and New Zealand, the Hong Kong Institute of Directors, the Royal Institution of Chartered Surveyors and Institute of Shopping Centre Management."
26,"Hongchoy holds a Bachelor of Commerce degree from the University of Canterbury and an MBA degree from The Wharton School, University of Pennsylvania."
27,(b) Professor Kalok Chan: Prof.
28,Kalok Chan is Wei Lun Professor of Finance and Chair of the Department of Finance of The Chinese University of Hong Kong (CUHK) Business School.
29,He was the Dean of CUHK Business School from 2014 to 2019.
30,"Before he joined CUHK Business School in 2014, Prof."
31,"Chan was the Synergis- Geoffrey Yeh Professor of Finance at the Hong Kong University of Science and Technology (HKUST), where he had served as the Head of Finance Department (2003-2013) and Acting Dean of HKUST Business School (2013-2014)."
32,"Prior to joining HKUST, he was an Associate Professor of Finance at Arizona State University."
33,Chan is active in contributing to the profession.
34,"He currently serves in a number of committees, including Human Capital Committee of HK Financial Services and Development Council, Hong Kong Housing Authority, Hong Kong Academy of Finance, HKIMR Council of Advisers for Applied Research, Advisory Committee of the Securities and Futures Commission."
35,"Chan obtained his BSSc in Economics from CUHK, and PhD in Finance from Ohio State University."
36,(c) Mr.
37,Dean Chisholm: Mr.
38,Chisholm is a chartered accountant and was the Regional Head of Operations for Asia Pacific at Invesco until his retirement in 2020.
39,"Over his 26 years at Invesco, Mr Chisholm held a number of operations, governance and internal audit roles in Asia Pacific."
40,"Mr Chisholm has also held a number of roles in industry bodies, including being a member of the Hong Kong government sponsored Financial Services Development Council New Business Committee (2015-2020) and co-chair of Hong Kong Exchange and Clearing Limited buy side council."
41,"In 2012, AsianInvestor recognized him as COO of the Year."
42,"Prior to joining Invesco, Mr."
43,Chisholm was an audit manager at PricewaterhouseCoopers in London and Hong Kong from 1984 to 1993.
44,Chisholm received a Bachelor of Science degree in Monetary Economics from The London School of Economics.
45,He is a Fellow Member of the Institute of Chartered Accountants of England and Wales and an Associate of the Hong Kong Institute of Certified Public Accountants.
46,(d) Dr.
47,Kam Pok-man: Dr.
48,"Kam is a certified public accountant and was the Group Financial Controller of Jardine Matheson from 1984 until his retirement in 2010, thereafter appointed as Chief Executive Officer of the Financial Reporting Council to 2013."
49,"Kam is a member of a number of accountancy bodies in Hong Kong, Australia, Canada and the United Kingdom."
50,Kam is currently chairman of the Hospital Governing Committee of Queen Elizabeth Hospital.
51,"He previously served as a member of the Hospital Authority, the University Grants Committee and the General Committee of the Federation of Hong Kong Industries from 2013 to 2019."
52,He also served as the IFRS Advisory Council of the International Accounting Standards Board from 2005 to 2011 and the president of the Hong Kong Institute of Certified Public Accountants in 1999 and 2000.
53,Kam holds a PhD degree in accounting from the University of the Sunshine Coast and an MBA degree from The Chinese University of Hong Kong.
54,(e) Mr.
55,Blair Pickerell: Mr.
56,"Pickerell currently serves as an Independent Director of The Principal Financial Group (listed on the NASDAQ), an Independent Non- Executive Director of Link Real Estate Investment Trust, an Independent Non- Executive Director of Dah Sing Financial Holdings, and an Independent Non- Executive Director of First Pacific Company Limited."
57,Pickerell is also a member of the International Advisory Board of the Faculty of Business and Economics at the University of Hong Kong and chairman of the Harvard Business School Association of Hong Kong.
58,"Prior to his retirement from full-time employment, he served as Chairman, Asia of Nikko Asset Management Company until July 2015."
59,"He previously held senior positions at Morgan Stanley Investment Management, HSBC Investments Limited, Jardine Fleming Asset Management Limited, and Jardine Matheson Holdings Limited."
60,He received his BA and MA degrees from Stanford University and an MBA from Harvard Business School.
61,(f) Mr.
62,Wilfred Yiu: Mr.
63,Yiu is Managing Director and Co-Head of Markets for Hong Kong Exchanges and Clearing Limited.
64,"Previously, he was Deputy Chief Executive Officer and Chief Operating Officer for Beijing Gao Hua Securities Company Limited, and Chairman of its wholly-owned subsidiary, Qian Kun Futures Co., Ltd Prior to that, Mr."
65,Yiu was the Head of Credit Structured Products for Asia at Goldman Sachs (Asia) L.L.C.
66,Yiu served as a governor for the Board of Dalian Commodity Exchange in China from 2015 to 2017 and is currently an advisor for the Strategic Advisory Committee of Dalian Commodity Exchange.
67,He is an adjunct professor at the Hong Kong Polytechnic University.
68,Yiu holds a Master's degree in Computer Science from Stanford University and an MBA in Finance from the Stern School of Business at New York University.
69,(g) Mr.
70,"Law Shing Yan, Stephen: Mr."
71,Law is Deputy General Counsel to the Hong Kong Monetary Authority.
72,He was seconded to serve as the legal adviser to the Hong Kong Deposit Protection Board upon its establishment.
73,He is admitted as a solicitor both in Hong Kong and in England and Wales.
74,"Prior to joining the Hong Kong Monetary Authority, Mr."
75,"Law worked at Deacons."" 5."
76,"The sub-section entitled ""The Manager"" under the section entitled ""Management and Administration"" under the section entitled ""TRAHK"" of the Prospectus shall be deemed to be deleted and replaced with the following: ""The Manager The Manager is an indirect wholly-owned subsidiary of State Street Corporation, a bank holding company in the United States of America whose shares are traded on the New York Stock Exchange."
77,"SSGA, the investment division of State Street Corporation, is one of the largest investment managers in the world, having US$4.14 trillion of assets under management as of 31 December 2021 spanning both active and index disciplines."
78,"SSGA has over 500 investment professionals worldwide and 10 investment centres and a 24-hour global trading capability with trading desks in Boston, London and Hong Kong."
79,The Manager is independent of HSIL (the compiler and publisher of the Hang Seng Index).
