id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03412_qa_00001,03412,en,"Does ETF 03412 use derivatives, and what are the limits?","“Business Day” in respect of a Sub-Fund, means, unless the Manager otherwise agrees or otherwise specified in the relevant Appendix of the Sub-Fund, a day on which (a)(i) the SEHK is open for normal trading; and (ii) the relevant market on which Securities comprised in the relevant Index and/or Futures Contracts or the Sub-Fund (as the case may be), are traded is open for normal trading, or if there are more than one such market, the market designated by the Manager is open for normal trading, and (b) (where applic",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,3,derivatives
03412_qa_00002,03412,en,What is the investment objective of ETF 03412?,"“Index Tracking Sub-Fund” means a Sub-Fund with a principal objective to track, replicate or correspond to a financial index or benchmark, with an aim of providing or achieving investment results or returns that closely match or correspond to the performance of the Index that it tracks and has been authorised by the SFC under Chapter 8.6 of the UT Code. 16 INVESTMENT OBJECTIVE, STRATEGY AND RESTRICTIONS, SECURITIES LENDING AND BORROWING. Index Tracking Sub-Funds Each Index Tracking Sub-Fund will adopt either a full",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,22,objective_strategy
03412_qa_00003,03412,zh-HK,這隻ETF的投資目標是甚麼（03412）？,"根據基金文件：“Index Tracking Sub-Fund” means a Sub-Fund with a principal objective to track, replicate or correspond to a financial index or benchmark, with an aim of providing or achieving investment results or returns that closely match or correspond to the performance of the Index that it tracks and has been authorised by the SFC under Chapter 8.6 of the UT Code. 16 INVESTMENT OBJECTIVE, STRATEGY AND RESTRICTIONS, SECURITIES LENDING AND BORROWING. Index Tracking Sub-Funds Each Index Tracking Sub-Fund will adopt either a full",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,22,objective_strategy_zh
03412_qa_00004,03412,zh-HK,這隻ETF在文件中如何規範期貨、期權及認股權證（03412）？,根據基金文件：“Futures Contract” means any futures contract which is traded on any Futures Exchange. “Futures Exchange” means the Hong Kong Futures Exchange Limited and such other futures exchange from time to time determined by the Manager.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,3,derivatives_zh
03412_qa_00005,03412,en,Is principal guaranteed when investing in ETF 03412?,There is no guarantee of the repayment of principal.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,551,single_sentence
03412_qa_00006,03412,en,When are dividends generally paid for ETF 03412?,"“Income Property” means, in respect of a Sub-Fund, (a) all interest, dividends and other sums deemed by the Manager, (after consulting the Auditor either on a general or case by case basis), to be in the nature of income (including taxation repayments, if any) received or receivable by the Custodian in respect of the Deposited Property of the relevant Sub-Fund (whether in cash or, without limitation, by warrant, cheque, money, credit or otherwise or the proceeds of sale or transfer of any Income Property received i",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,58,dividend
03412_qa_00007,03412,en,Which risks could cause losses for ETF 03412 investors?,Collateral should normally trade in a deep and liquid marketplace with transparent pricing; Valuation – collateral should be marked-to-market daily by using independent pricing source; Credit quality – asset used as collateral must be of high credit quality and should be replaced immediately as soon as the credit quality of the collateral or the issuer of the asset being used as collateral has deteriorated to such a degree that it would undermine the effectiveness of the collateral; Haircut – collateral should be s,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,340,key_risks
03412_qa_00008,03412,en,Under what scenarios may ETF 03412 be terminated?,"In the event that the Custodian shall retire or be removed or its appointment shall otherwise terminate, the Company shall appoint another corporation eligible under the Laws and Regulations to act as a custodian of an OFC which is approved by the SFC to be the Custodian in place of the Custodian so retiring or being removed on or before the expiry of any period of notice of such retirement, removal or termination. Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code w",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination
03412_qa_00009,03412,en,What are the key risks investors should know for ETF 03412?,Single Region/Single Industry Sector/Concentration Risk A Sub -Fund may be subject to concentration risk as a result of having a strategy of concentrating in a single region or industry sector or (for an Index Tracking Sub-Fund) tracking the performance of a single geographical region or country or industry sector. Collateral should normally trade in a deep and liquid marketplace with transparent pricing; Valuation – collateral should be marked-to-market daily by using independent pricing source; Credit quality – a,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,340,key_risks
03412_qa_00010,03412,en,How are futures/options/warrants addressed in ETF 03412 documentation?,“Futures Contract” means any futures contract which is traded on any Futures Exchange. “Futures Exchange” means the Hong Kong Futures Exchange Limited and such other futures exchange from time to time determined by the Manager.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,3,derivatives
03412_qa_00011,03412,zh-HK,這隻ETF的追蹤誤差主要由甚麼造成（03412）？,根據基金文件：It is therefore possible that an Index Tracking Sub-Fund may be subject to larger tracking error.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,684,single_sentence_zh
03412_qa_00012,03412,en,Is ETF 03412 actively managed or passive?,Risks Associated with Investment in an Index Tracking Sub-Fund Passive Investment Risk An Index Tracking Sub-Fund is not actively managed.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,678,single_sentence
03412_qa_00013,03412,zh-HK,這隻ETF涉及哪些費用與收費（03412）？,"根據基金文件：feeder fund) and its underlying master fund must be clearly disclosed; (3) unless otherwise approved by the SFC, no increase in the overall total of initial charges, redemption charges, the Manager’s annual fee, or any other costs and charges payable to the Manager or any of its Connected Persons borne by the Shareholders or by the Sub-Fund (i.e. Participating Dealers are under no obligation to create or redeem generally or for their clients and may charge their clients such fee or fees as such Participating Dealer",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,125,fees_charges_zh
03412_qa_00014,03412,en,What dual-counter risks should investors know for ETF 03412?,"(Hong Kong time) on 14 June 2024, or such other date as the Manager may determine Initial Issue Date 18 June 2024, or such other date as the Manager may determine Issue Price during the Initial Offer Period USD 1, or such other price as the Manager may determine Listing Date (SEHK) Expected to be 19 June 2024 Exchange Listing SEHK – Main Board Stock Code 3413 Short Stock Name A DOO AI Trading Board Lot Size 100 Shares Base Currency USD Trading Currency HKD Distribution Policy Annually (usually in December of each y",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,142,currency_counter
03412_qa_00015,03412,zh-HK,這隻ETF是否使用衍生工具，以及有甚麼限制（03412）？,"根據基金文件：“Business Day” in respect of a Sub-Fund, means, unless the Manager otherwise agrees or otherwise specified in the relevant Appendix of the Sub-Fund, a day on which (a)(i) the SEHK is open for normal trading; and (ii) the relevant market on which Securities comprised in the relevant Index and/or Futures Contracts or the Sub-Fund (as the case may be), are traded is open for normal trading, or if there are more than one such market, the market designated by the Manager is open for normal trading, and (b) (where applic",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,3,derivatives_zh
03412_qa_00016,03412,en,What causes tracking error in ETF 03412?,It is therefore possible that an Index Tracking Sub-Fund may be subject to larger tracking error.,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,684,single_sentence
03412_qa_00017,03412,zh-HK,這隻ETF派息是否有保證（03412）？,"根據基金文件：Furthermore, distribution of this Prospectus (including the KFS) shall not be permitted unless it is accompanied by a copy of the latest annual financial report of the Sub-Fund(s) (where existing) and, if later, its most recent interim report. Dividends May Not be Paid Risk Whether a Sub-Fund will pay distributions on its Shares is subject to the Manager’s distribution policy (as described in the relevant Appendix) and also mainly depends on dividends declared and paid in respect of the Securities comprising the In",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,58,dividend_zh
03412_qa_00018,03412,zh-HK,這隻ETF的交易與持有成本有哪些（03412）？,"根據基金文件：Trading Fees and Taxes In addition to paying trading fees and stamp duties in connection with A-Share trading, a Sub-Fund may be subject to other fees and taxes concerned with income arising from stock transfers which are determined by the relevant authorities. feeder fund) and its underlying master fund must be clearly disclosed; (3) unless otherwise approved by the SFC, no increase in the overall total of initial charges, redemption charges, the Manager’s annual fee, or any other costs and charges payable to the",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,125,fees_charges_zh
03412_qa_00019,03412,zh-HK,這隻ETF的產品資料概要重點風險有哪些（03412）？,"根據基金文件：The price volatility of the asset used as collateral should be taken into account when devising the haircut policy. The value of such Sub-Fund is likely to be more volatile than a fund having a more diverse portfolio of investments, such as a global equity fund, as it is more susceptible to fluctuations in value of the Securities or the Index resulting from adverse conditions in the particular geographical region, country or industry sector (including economic, political, policy, foreign exchange, liquidity, tax, l",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,340,key_risks_zh
