sentence_id,text
0,Posted on 31 March 2026 MONTHLY PROLONGED SUSPENSION STATUS REPORT (GEM) (as at 31 March 2026) 1.
1,This report summarises the status of companies which have been suspended for three months or more (the Long Suspended Companies).
2,"Suspension, resumption criteria, and delisting periods under the GEM Listing Rules (Rules) 2."
3,"The Exchange, as frontline regulator of listed companies, is obliged to maintain a fair, orderly and efficient market for the trading of securities."
4,It may suspend trading in any securities for the purpose of protecting investors or maintaining an orderly market.
5,"Where there are concerns about investor protection, the Exchange may require the company to address these specific concerns before allowing trading to resume."
6,"In the interests of promoting a continuous market for the trading of listed securities, the period of suspension should be kept as short as possible."
7,"Resumption of trading normally takes place after the publication of information, and where applicable, fulfillment of conditions/guidance imposed by the Exchange."
8,"Under GEM Rule 9.14A, the Exchange would cancel the listing of a suspended company after a trading suspension of 12 continuous months (the 12 month period )."
9,"Depending on the specific facts and circumstances of a suspended company, under GEM Rules 9.01, 9.04, 9.14 and 9.15, (a) the Exchange may at any time publish a delisting notice stating its right to delist the company if it fails to resume trading within a shorter period specified in the notice (the specific remedial period), or (b) to cancel the listing of the company immediately, where appropriate."
10,Table A sets out the cumulative number of Long Suspended Companies from the beginning of the year.
11,Table B includes Long Suspended Companies subject to the prescribed 12 month period and Table C includes Long Suspended Companies subject to the specific remedial period imposed by the Exchange .
12,Disclosure of information by companies 6.
13,"A suspended company is obliged to disclose (i) inside information under the Securities and Futures Ordinance, and (ii) all information required to be disclosed by a listed company under the Rules (e.g."
14,"financial results, notifiable and connected transactions)."
15,"In addition, it must announce quarterly updates on its developments, such as its business operations, resumption plan and timetable, and the progress of implementing such resumption plan and satisfying the resumption conditions /guidance issued by the Exchange."
16,Please see the companies’ announcements available on the HKEXnews website at www.hkexnews.hk.
17,"For guidance on the operation of the amended Rules, general obligations of suspended companies, the Exchange’s regulatory actions during the resumption process, and guidance specific to different types of suspension cases1, please see Guidance Letter GL95-182."
18,"The table below presents a status summary of Long Suspended Companies based on their published announcements, including conditions/guidance for resumption, deadlines for resumption, major developments and outstanding issues."
19,The Exchange may modify or impose further resumption conditions/guidance subject to developments.
20,"1 Including (i) failure to maintain sufficient operations or assets, (ii) failure to publish financial results or inside information due to material irregularities, and (iii) failure to maintain sufficient public float 2 Available at https://en-rules.hkex.com.hk/sites/default/files/net_file_store/GL95-18.pdf Posted on 31 March 2026 A."
21,"Cumulative number of the Long Suspended Companies Number of Long Suspended Companies (GEM) As at 1 January 2026 14 Added 3 Resumed Note - Delisted Note (3) As at the end of March 2026 14 Note: For the year ended 31 December 2025, 3 and 7 GEM long suspended companies resumed trading and were delisted respectively."
22,Companies subject to the 12 month period (see paragraph 4) No Long suspended GEM companies Date of suspension End date of remedial period Resumption conditions or guidance / Major issues to be addressed Announcements published by the company 1 Yu Tak International Holdings Limited (8048) 7-Mar-2025 6-Mar-2026 1.
23,"Conduct an independent forensic investigation, announce the findings and take remedial actions 2."
24,"Demonstrate that there is no reasonable regulatory concern about the integrity, competence or character of the management/ any persons with substantial influence over the management and operations 3."
25,Publish all outstanding financial results and address any audit modifications 4.
26,Conduct an independent internal control review and demonstrate adequate internal control and procedures 5.
27,Demonstrate compliance with GEM Rule 17.26 6.
28,"Re-comply with GEM Rules 5.05(1), 5.05A, 5.28, 5.34 and 5.36A 7."
29,Inform market of material information Link to HKEXnews 2 G.
30,Holdings Limited (8126) 1-Apr-2025 31-Mar-2026 1.
31,Publish all outstanding financial results and address any audit modifications 2.
32,Demonstrate compliance with GEM Rule 17.26 3.
33,"Re-comply with GEM Rules 5.05, 5.24, 5.28 and 17.104 4."
34,Inform market of material information Link to HKEXnews 3 Indigo Star Holdings Limited (8373) 1-Apr-2025 31-Mar-2026 1.
35,Publish all outstanding financial results and address any audit modifications 2.
36,Demonstrate compliance with GEM Rule 17.26 3.
37,Inform market of material information Link to HKEXnews 4 JLogo Holdings Limited (8527) 1-Apr-2025 31-Mar-2026 1.
