news_id,Date,Headline,Source,Market_Event,Sector,query_text,rank,predicted_ticker,final_score,bi_score,cross_score,boost,sentiment_label,sentiment_confidence,sentiment_score,sentiment_adjusted_score
1,2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Commodity Price Shock,Technology,Nikkei 225 index benefits from a weaker yen | Commodity Price Shock | Technology | High | DAX,1,03175,1.008028,0.808028,0.0,0.2,negative,0.845792,-1,0.794883
2,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Central Bank Meeting,Retail,Government subsidy program gives a lift to the agriculture sector | Central Bank Meeting | Retail | Low | Shanghai Composite,1,03077,0.786336,0.786336,0.0,0.0,positive,0.917761,1,0.966753
3,2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Consumer Confidence Report,Retail,New housing data release shows a slowdown in market activity | Consumer Confidence Report | Retail | Medium | Neutral | Shanghai Composite,1,03165,0.801017,0.801017,0.0,0.0,negative,0.970689,-1,0.606632
4,2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Commodity Price Shock,Consumer Goods,Massive stock buyback program announced by a consumer goods company | Commodity Price Shock | Consumer Goods | Low | Positive | NSE Nifty,1,02840,1.003615,0.803615,0.0,0.2,neutral,0.685082,0,1.003615
5,2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Inflation Data Release,Consumer Goods,Government spending bill is expected to stimulate the economy | Inflation Data Release | Consumer Goods | Low | Negative | Nasdaq Composite,1,03077,0.811227,0.811227,0.0,0.0,positive,0.913673,1,0.996526
6,2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Unemployment Rate Announcement,Transportation,Central bank maintains status quo on interest rates | Unemployment Rate Announcement | Transportation | Low | Negative | IBOVESPA,1,03077,0.906761,0.806761,0.0,0.1,neutral,0.917198,0,0.906761
7,2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,IPO Launch,Telecommunications,Tech Giant's New Product Launch Sparks Sector-Wide Gains | IPO Launch | Telecommunications | Medium | Neutral | Shanghai Composite,1,03477,0.792736,0.792736,0.0,0.0,positive,0.870487,1,0.965253
8,2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Geopolitical Event,Retail,A massive data breach sends a tech company's stock tumbling | Geopolitical Event | Retail | Low | Positive | DAX,1,03448,0.809754,0.809754,0.0,0.0,negative,0.890495,-1,0.629483
9,2025-04-08,,Financial Times,Trade Tariffs Announcement,Automotive,nan | Trade Tariffs Announcement | Automotive | Low | Positive | S&P/TSX Composite,1,03165,0.795854,0.795854,0.0,0.0,neutral,0.868559,0,0.795854
10,2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Trade Tariffs Announcement,Energy,Market sentiment turns positive on vaccine trial results | Trade Tariffs Announcement | Energy | Low | Negative | Nikkei 225,1,03153,0.797711,0.797711,0.0,0.0,positive,0.937714,1,0.984717
11,2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,Consumer Confidence Report,Transportation,"Global trade talks collapse, causing market turmoil | Consumer Confidence Report | Transportation | Medium | Positive | FTSE 100",1,02840,0.911429,0.811429,0.0,0.1,negative,0.926468,-1,0.700327
12,2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,Commodity Price Shock,Pharmaceuticals,Aerospace and Defense sector sees rally amid geopolitical tensions | Commodity Price Shock | Pharmaceuticals | Medium | TSX,1,03081,1.000344,0.800344,0.0,0.2,negative,0.516719,-1,0.87112
13,2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,Government Policy Announcement,Healthcare,Supply chain issues impact manufacturing sector earnings | Government Policy Announcement | Healthcare | High | Neutral | ASX 200,1,03081,0.813029,0.813029,0.0,0.0,negative,0.681805,-1,0.674447
14,2025-02-28,,Investopedia,Unemployment Rate Announcement,Aerospace & Defense,nan | Unemployment Rate Announcement | Aerospace & Defense | Low | Negative | Nasdaq Composite,1,03182,0.804458,0.804458,0.0,0.0,negative,0.706883,-1,0.662294
15,2025-06-30,Market braces for a major policy announcement from the EU,Reuters,Bond Market Fluctuation,Finance,Market braces for a major policy announcement from the EU | Bond Market Fluctuation | Finance | Medium | Positive | BSE Sensex,1,03165,0.810406,0.810406,0.0,0.0,neutral,0.55384,0,0.810406
16,2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Regulatory Changes,Industrials,New IPO for a popular software firm is oversubscribed | Regulatory Changes | Industrials | Medium | Negative | Shanghai Composite,1,03432,0.805585,0.805585,0.0,0.0,negative,0.952246,-1,0.613806
17,2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,Market Rally,Real Estate,Market sentiment turns positive on vaccine trial results | Market Rally | Real Estate | Low | Negative | KOSPI,1,03428,0.804986,0.804986,0.0,0.0,positive,0.937714,1,0.993698
18,2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Inflation Data Release,Aerospace & Defense,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Inflation Data Release | Aerospace & Defense | High | Positive | Shanghai Composite,1,03477,0.790175,0.790175,0.0,0.0,positive,0.692591,1,0.926992
19,2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Inflation Data Release,Retail,Manufacturing PMI data signals economic expansion | Inflation Data Release | Retail | Low | Nasdaq Composite,1,03077,0.806004,0.806004,0.0,0.0,positive,0.831785,1,0.97361
20,2025-07-22,Financial services stocks rally on strong profit margins,Forbes,Trade Tariffs Announcement,Finance,Financial services stocks rally on strong profit margins | Trade Tariffs Announcement | Finance | Medium | Positive | BSE Sensex,1,02836,0.802715,0.802715,0.0,0.0,positive,0.883444,1,0.980003
21,2025-05-21,,Yahoo Finance,Commodity Price Shock,Industrials,nan | Commodity Price Shock | Industrials | Medium | Negative | Nasdaq Composite,1,03081,1.001233,0.801233,0.0,0.2,negative,0.594779,-1,0.852355
22,2025-08-03,Mining company stock surges on commodity price boom,CNBC,Commodity Price Shock,Agriculture,Mining company stock surges on commodity price boom | Commodity Price Shock | Agriculture | Medium | Negative | NSE Nifty,1,03081,1.00176,0.80176,0.0,0.2,negative,0.916112,-1,0.772329
23,2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,Regulatory Changes,Real Estate,Tech Giant's New Product Launch Sparks Sector-Wide Gains | Regulatory Changes | Real Estate | Low | Neutral | ASX 200,1,03169,0.794061,0.794061,0.0,0.0,positive,0.870487,1,0.966866
24,2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Economic Data Release,Utilities,Financial sector bracing for new capital requirements | Economic Data Release | Utilities | High | Positive | Euro Stoxx 50,1,03077,0.816223,0.816223,0.0,0.0,negative,0.87031,-1,0.638631
25,2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,IPO Launch,Construction,Major technology firm acquires a smaller rival in a multi-billion dollar deal | IPO Launch | Construction | Low | Hang Seng,1,03069,0.786815,0.786815,0.0,0.0,positive,0.692591,1,0.92305
26,2025-04-07,ASX 200 gains on strong export performance,Reuters,Stock Market Crash,Media & Entertainment,ASX 200 gains on strong export performance | Stock Market Crash | Media & Entertainment | High | Positive | TSX,1,03165,0.80421,0.80421,0.0,0.0,positive,0.942392,1,0.99368
27,2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Inflation Data Release,Industrials,ASX 200 gains on strong export performance | Inflation Data Release | Industrials | Low | Neutral | Russell 2000,1,03165,0.794509,0.794509,0.0,0.0,positive,0.942392,1,0.981694
28,2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Central Bank Meeting,Telecommunications,Bond yields tumble as investors seek safe havens | Central Bank Meeting | Telecommunications | Medium | Positive | Nikkei 225,1,03077,0.824468,0.824468,0.0,0.0,negative,0.953942,-1,0.627844
29,2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,Consumer Confidence Report,Media & Entertainment,Utilities sector remains stable during market fluctuations | Consumer Confidence Report | Media & Entertainment | High | Neutral | CAC 40,1,03179,0.79357,0.79357,0.0,0.0,positive,0.80296,1,0.952871
30,2025-07-30,Financial sector bracing for new capital requirements,Barron's,Inflation Data Release,Healthcare,Financial sector bracing for new capital requirements | Inflation Data Release | Healthcare | Low | Neutral | Nasdaq Composite,1,03077,0.821051,0.821051,0.0,0.0,negative,0.87031,-1,0.642409
31,2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Commodity Price Shock,Retail,Consumer Discretionary stocks outperform as spending increases | Commodity Price Shock | Retail | Medium | Positive | Russell 2000,1,02840,0.992405,0.792405,0.0,0.2,negative,0.789037,-1,0.796644
32,2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,Economic Data Release,Energy,Quarterly report shows surprising losses for retail giants | Economic Data Release | Energy | Low | Positive | IBOVESPA,1,03175,0.793046,0.793046,0.0,0.0,negative,0.808206,-1,0.63281
33,2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Currency Devaluation,Transportation,Major oil spill sends energy stocks plummeting | Currency Devaluation | Transportation | Low | Negative | Nikkei 225,1,03175,1.015836,0.815836,0.0,0.2,negative,0.95815,-1,0.772505
34,2025-03-22,China's Shanghai Composite falls after new trade restrictions,The Economist,Economic Data Release,Utilities,China's Shanghai Composite falls after new trade restrictions | Economic Data Release | Utilities | Low | Positive | Nikkei 225,1,03005,0.908475,0.808475,0.0,0.1,negative,0.949947,-1,0.692724
35,2025-05-02,Healthcare stocks gain on robust demand and strong outlook,Yahoo Finance,Unemployment Rate Announcement,Industrials,Healthcare stocks gain on robust demand and strong outlook | Unemployment Rate Announcement | Industrials | Low | Positive | S&P 500,1,03186,0.775092,0.775092,0.0,0.0,positive,0.944635,1,0.958137
36,2025-05-09,Retail sales report surpasses all forecasts,Forbes,Unemployment Rate Announcement,Agriculture,Retail sales report surpasses all forecasts | Unemployment Rate Announcement | Agriculture | Low | Neutral | FTSE 100,1,03165,0.785122,0.785122,0.0,0.0,positive,0.873907,1,0.956653
