sentence_id,text
0,1 Product Key Facts iShares Core MSCI China ETF BlackRock Asset Management North Asia Limited 17 August 2021 This is a passive exchange traded fund.
1,This statement provides you with key information about this product.
2,This statement is a part of the Prospectus.
3,You should not invest in this product based on this statement alone.
4,"Quick facts Stock code: 2801 HKD Counter 9801 USD counter Trading lot size: 200 units (for HKD and USD counters) Manager: BlackRock Asset Management North Asia Limited Trustee, Registrar and Custodian: HSBC Institutional Trust Services (Asia) Limited Ongoing charges over a year#: 0.20% Tracking difference of the last calendar year##: -0.21% Underlying Index: MSCI China Index Base currency: Hong Kong dollars (HKD) Trading currency: HKD and USD Financial year end of this fund: 31 December Dividend policy: Annually, at Manager’s discretion (usually in November/December each year) (if any)."
5,Distributions may be made out of capital or effectively out of capital as well as income at the Manager’s discretion.
6,All units will receive distributions in the base currency (HKD) only.
7,Please refer to the risk factor “Dividends payable out of capital or effectively out of capital risk” on page 4 below.
8,ETF website: www.blackrock.com/hk (Please refer to the section Additional Information on how to access the product webpage) # The ongoing charges figure is based on expenses for the year ended 31 December 2020 (calculated in HKD).
9,This figure may vary from year to year.
10,It represents the sum of the ongoing expenses chargeable to the MSCI China ETF expressed as a percentage of the average Net Asset Value ## This is the actual tracking difference of the calendar year ended 31 December 2020.
11,Investors should refer to the website of the MSCI China ETF for more up-to-date information on actual tracking difference.
12,iShares Core MSCI China ETF 2 What is this product?
13,This is a fund constituted in the form of a unit trust.
14,The units of the iShares Core MSCI China ETF (the “MSCI China ETF”) are listed on The Stock Exchange of Hong Kong Limited (“ SEHK”).
15,These units are traded on SEHK like listed stocks.
16,"Objective and Investment Strategy Objective The MSCI China ETF aims to provide investment results that, before fees and expenses, closely correspond to the performance of the MSCI China Index (the “Underlying Index”)."
17,Investment Strategy The MSCI China ETF may adopt either a representative sampling investment strategy or a replication investment strategy to achieve its investment objective.
18,A representative sampling investment strategy involves investing in a representative sample of the securities* in the Underlying Index (either directly or indirectly) selected by the Manager.
19,"The MSCI China ETF may or may not (either directly or indirectly) hold all of the Securities that are included in the Underlying Index, and may hold Securities which are not included in the Underlying Index but which the Manager believes will help the MSCI China ETF achieve its investment objective."
20,"The Manager will select securities based on their contribution to certain capitalisation, industry and fundamental investment characteristics and by doing so, seeking to construct a portfolio that perform like the Underlying Index."
21,A replication investment strategy involves investing in substantially all the securities (either directly or indirectly) in substantially the same weightings as those securities comprised in the Underlying Index.
22,The Manager may switch between the replication and the representative sampling investment strategies without notice to investors and in its absolute discretion.
23,"The MSCI China ETF may invest in financial derivative instruments (“FDIs”) including futures contracts and swaps for reducing tracking error, hedging purposes or to achieve its investment objective, subject to the limit that the MSCI China ETF’s net derivative exposure does not exceed 50% of MSCI China ETF’s NAV."
24,The MSCI China ETF may only enter into futures contracts which are traded on the Hong Kong Futures Exchange Limited or an international futures exchange which is recognized by the SFC or which is approved by the Trustee and the Manager.
25,"The MSCI China ETF currently does not intend to engage in any securities lending transactions, sale and repurchase transactions, reverse repurchase transactions or other similar over the counter transactions."
26,One month’s prior notice will be given to unitholders in the event the Manager intends to engage in such activities.
27,"The MSCI China ETF may invest in one or more physical exchange traded funds (ETFs) for cash management and contingency purposes only and if it considers that investing in them is in the best interests of the unitholders taking into account various factors including but not limited to returns to investors, fees, and market conditions."
28,"The MSCI China ETF may invest up to 10% of its NAV in one or more underlying ETFs which are non-eligible schemes or not authorised by the SFC and up to 30% of its NAV in each underlying ETF which are eligible schemes or authorised by the SFC, including those which are managed by the Manager or its Connected Persons or other third parties."
29,"The Manager intends to treat such underlying ETFs as collective investment schemes for the purposes of and subject to the requirements in Chapters 7.11, 7.11A and 7.11B of the Code."
30,"*Including (i) Depositary Receipts and (ii) effective from 1 June 2018, China A shares (by investing via the Stock Connect)."
31,iShares Core MSCI China ETF 3 Underlying Index The Underlying Index is a free-float adjusted market capitalisation-weighted index that is compiled and published by MSCI Inc.
32,"It is designed to track the equity market performance of (i) Chinese securities (H shares, red chips and P chips) listed on the SEHK, (ii) B shares of Chinese securities listed on the Shanghai Stock Exchange and the Shenzhen Stock Exchange (and effective from 1 June 2018, China A shares) and (iii) companies traded outside the country of classification (i.e."
33,foreign listed companies) including those traded by way of Depositary Receipts.
34,"As at 31 March 2021, the Underlying Index contained 709 stocks."
35,"For details (including the last closing index level and other important news), please refer to the index website at www.msci.com."
36,The index constituents and their respective weightings can be accessed on http://www.msci.com/constituents (this website has not been reviewed by the SFC).
37,Use of derivatives/ investment in derivatives The MSCI China ETF’s net derivative exposure may be up to 50% of the MSCI China ETF’s NAV.
38,What are the key risks?
39,Investment involves risks.
40,Please refer to the Prospectus for details including the risk factors.
41,"Emerging market risk Generally, investments in emerging markets such as the PRC are subject to a greater risk of loss than investments in developed markets due to greater political, economic, taxation and regulatory uncertainty and risks linked to volatility and market liquidity."
42,Concentration risk The exposure of the MSCI China ETF is concentrated in companies with business operations based and/or controlled by shareholders in the PRC and may be more volatile than funds adopting a more diversified strategy.
43,Risks related to the PRC There can be no assurance that the PRC Government will continue to pursue economic or tax reform policies which will result in economic growth and social progress or continue its existing foreign exchange policy which have significantly reduced government foreign exchange controls.
44,There is also significant uncertainty in interpretation and enforcement of PRC regulations.
45,Liquidity risk The Shanghai Stock Exchange and Shenzhen Stock Exchange in which B shares are traded are undergoing development.
46,"This may result in higher market volatility, settlement difficulties and potential lack of liquidity due to low trading volume in the B shares markets, which may in turn result in significant price fluctuations and changes in the net asset value of the MSCI China ETF."
47,"Foreign security risk The MSCI China ETF invests in PRC companies which are subject to special risks not typically associated with investing in Hong Kong companies including the possibility of expropriation or confiscatory taxation, adverse changes in investment or exchange control regulations, political instability which may affect local investments in foreign countries and potential restrictions on the flow of international capital."
48,iShares Core MSCI China ETF 4 6.
49,Foreign exchange rate risk The MSCI China ETF’s base currency is in HKD but has units traded in USD (in addition to HKD).
50,Accordingly secondary market investors may be subject to additional costs or losses associated with foreign currency fluctuations between the base currency and USD when trading units in the secondary market.
51,"Risks associated with investment in FDIs Risks associated with FDI include counterparty/credit risk, liquidity risk, valuation risk, volatility risk and over-the-counter transaction risk."
52,The leverage element/component of an FDI can result in a loss significantly greater than the amount invested in the FDI by the MSCI China ETF.
53,Exposure to FDI may lead to a high risk of significant loss by the MSCI China ETF.
54,Passive investment risk The MSCI China ETF is not actively managed and will not adopt any temporary defensive position against any market downturn.
55,"Therefore when there is a decline in the Underlying Index, the MSCI China ETF will also decrease in value."
56,Investors may suffer significant losses accordingly.
