sentence_id,text
0,1 iSHARES ASIA TRUST a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap.
1,"571) of Hong Kong 1 (the “Trust”) iShares Core Hang Seng Index ETF (HKD Counter Stock Code: 031 15) (RMB Counter Stock Code: 831 15) (USD Counter Stock Code: 091 15) (the “HSI ETF”) Addendum to the Prospectus If you are in any doubt about the contents of this Addendum, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Addendum, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Addendum."
3,This Addendum forms an integral part of and should be read in conjunction with the Prospectus of the HSI ETF dated 30 April 2018 (as amended by an addendum dated 16 November 2018) and the Product Key Facts Statement dated 18 January 2019 (together the “Prospectus”).
4,"The Manager accepts full responsibility for the accuracy of the information contained in this Addendum and confirm, having made all reasonable enquiries, that to the best of its knowledge and belief, there are no other facts the omission of which would make any statement misleading."
5,"The following amendments shall take effect on 18 January 2019: (1) On page iii, replace the list of Directors of the Manager under the section “Directory” with the following: “BELINDA BOA SUSAN WAI-LAN CHAN ANDREW LANDMAN RYAN DAVID STORK GRAHAM DOUGLAS TURL” 1 SFC authorization is not a recommendation or endorsement of a scheme nor does it guarantee the commercial merits of a scheme or its performance."
6,It does not mean the scheme is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
7,"2 (2) On page 3, replace the 1st and 8th rows of the table under the sub-section “Key Information” with the following: Underlying Index Index: Hang Seng Index (net total return version) Launch Date: 25 February 2009 Number of constituents: 50 stocks (as at 9 January 2019) Total Market Capitalisation (Free Float): HKD 1 7,404,995 million (as at 9 January 2019) Base Currency: HK dollars (HKD) Z Z Trading Board Lot Size 1 00 Units (for each counter) (3) On page 5, replace the fourth paragraph and the table under the sub-section “Underlying Index” with the following: “As at 9 January 2019, the Underlying Index had a total market capitalisation of HKD 1 7,404,995 million and was comprised of 50 constituent companies."
8,"The respective weightings of the top 1 0 largest constituent stocks of the Underlying Index were as follows: Company Name Sector^ Weighting % 1 Tencent Holdings Ltd Communication Services 1 0.28 2 HSBC Holdings PLC Financials 9.91 3 AIA Group Ltd Financials 9.1 6 4 China Construction Bank Corp Financials 8.1 8 5 China Mobile Ltd Communication Services 5.64 6 Industrial & Commercial Bank of China Ltd Financials 4.83 7 Ping An Insurance Group Co of China Ltd Financials 4.38 8 Hong Kong Exchanges and Clearing Ltd Financials 3.22 9 Bank of China Ltd Financials 3.1 3 1 0 CNOOC Ltd Energy 2.61 ^ Based on Global Industry Classification Standard (GICS)” (4) On page 17 , in the section “Exchange Listing and Trading (Secondary Market)”, replace the 2nd paragraph with the following: “Units trade on the SEHK in board lots of 1 00 Units.” (5) On page 33, in the sub-section “The Directors of the Manager”, delete the biography of Andrew Reynolds."
9,The Prospectus may only be distributed if accompanied by this Addendum.
10,BlackRock Asset Management North Asia Limited 貝萊德資產管理北亞有限公司 1 8 January 2019 1 iSHARES ASIA TRUST a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap.
