sentence_id,text
0,"29 August 2014 The Stock Exchange of Hong Kong Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accurac y or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
1,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
3,"The perfor mance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
4,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
5,TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 First Addendum Dated 29 August 2014 To The Prospectus Dated 24 June 2011 This First Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 June 2011 (the “Prospectus”) in relation to Tracker F und of Hong Kong (“TraHK”).
6,All information contained in the Prospectus is deemed to be incorporated herein.
7,"In the case of any conflict between this First Addendum and the Prospectus, this First Addendum shall prevail."
8,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
9,This Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 June 2011.
10,Words and expressions not specifically defined herein will bear the same meaning s as those attributed to them in the Prospectus.
11,The Prospectus is hereby supplemented as follows: 1.
12,"The following paragraph shall be deemed to be inserted at pages viii and 5 of the Prospectus above the section entitled “ERISA Considerations” respectively: “FATCA and US Tax Withholding and Reporting Requirements FATCA is essentially designed to require reporting of US P ersons’ direct and indirect ownership of non-US accounts and non-US entities to the US Internal Revenue Service, with any failure to provide the required information res ulting in a 30% US withholding tax on certain payments (including payments of gross proceeds and income) ."
13,TraHK will seek to satisfy the applicable FATCA requirements to avoid the imposition of FATCA withholding tax.
14,"However, there can be no assurance that TraHK will be able to comply with all these requirements."
15,"In the event that TraHK becomes subject to withholding tax as a result of FATCA, the Net Asset Value per Unit may be adversely affected and TraHK may suffer significant losses, which may result in a material loss to Unitholders."
16,"The section entitled “Foreign Account Tax Compliance” at page 44 of the Prospectus shall be deemed to be deleted and replaced with the following: “FATCA and US Tax Withholding and Reporting Requirements FATCA, as part of the United States’ Hiring Incentives to Restore Employment Act, became law in the US in 2010."
17,FATCA imposes a new reporting regime and potentially a US withholding tax of 30% on certain payments (including payments of gross proceeds and income) made wit h respect to certain actual and deemed US investments .
18,"As a general matter, the new rules under FATCA are designed to require US Persons’ direct and indirect ownership of non- US accounts and non-US entities to be reported to the US Internal Revenue Service ."
19,The 30% withholding tax regime applies if there is a failure to provide required information regarding US ownership.
