sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,"This Fourth Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 19 September 2022, the First Addendum dated 1 February 2023, the Second Addendum dated 28 April 2023 and the Third Addendum dated 4 September 2023."
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
3,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) Fourth Addendum Dated 4 December 2023 To the Prospectus Dated 19 September 2022 This Fourth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 19 September 2022, the First Addendum dated 1 February 2023, the Second Addendum dated 28 April 2023 and Third Addendum dated 4 September 2023 (together, the ""Prospectus"") in relation to Tracker Fund of Hong Kong (""TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Fourth Addendum and the Prospectus, this Fourth Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby amended and supplemented as follows: 1.
12,The last paragraph in the part headed “Stamp Duty” under the part headed “TraHK” under the part headed “Hong Kong” under the sub-section headed “Taxation” under the section “GENERAL” has been deleted in its entirety and replaced by the following: “The sale and purchase of Hong Kong stocks by TraHK to reflect any changes in the Hang Seng Index is subject to Hong Kong stamp duty.
13,TraHK and the counterparty will each be liable to Hong Kong stamp duty at the current rate of 0.1% of the price of Hong Kong stocks being sold and purchased.” 2.
14,The third paragraph in the sub-section headed “TraHK” under the section headed “SUMMARY” has been deleted in its entirety and replaced by the following: “ The Hang Seng Index is a widely quoted indicator for the performance of the Hong Kong stock market.
15,It is currently composed of shares in companies which generally have high market value and liquidity in the Hong Kong stock market.
16,The number of Hang Seng Index constituents increased to 82 and is ultimately targeted to fix at 100.
17,Please refer to Appendix II – “The Hang Seng Index” for further details on the Hang Seng Index.” 3.
18,The first paragraph in the sub-section headed “Adjusting the portfolio” under the section headed “Investment Management” has been deleted in its entirety and replaced by the following: “ The number of Hang Seng Index constituents increased to 82 and is ultimately targeted to fix at 100.
19,"Those constituent companies may, for a variety of reasons, change over time, both in terms of the identity of the constituent companies and the weighting of those constituent companies’ shares in the Hang Seng Index."
20,Appendix II – “The Hang Seng Index” provides a detailed summary of the way in which the constituent companies are currently selected for inclusion in the Hang Seng Index and the manner in which the weightings of those constituent companies’ shares are established.” 4.
21,"The first paragraph in the section headed “Compilation Methodology” under “APPENDIX II – The Hang Seng Index” has been deleted in its entirety and replaced by the following: “The Hang Seng Index is a freefloat-adjusted market capitalization weighted index with a specified cap-level of 8% on individual non-foreign companies constituent, 4% on individual foreign companies constituent and 10% on aggregate foreign companies constituents.” 5."
22,"The first paragraph in the section headed “Selection Criteria” under “APPENDIX II – The Hang Seng Index” has been deleted in its entirety and replaced by the following: “The universe of securities (“Universe”) of the Hang Seng Index constituents refer to the Hang Seng Composite LargeCap & MidCap Index as of index review data cut-off date; excluding secondary-listed foreign companies, stapled securities and biotech companies with stock names ended with marker “B” and specialist technology companies with stock names ended with marker “PC”.” 6."
23,"The second paragraph in the section headed “Selection Criteria”, under “APPENDIX II – The Hang Seng Index” has been deleted in its entirety and replaced by the following: “Constituent stocks of the Hang Seng Index are selected by a process of detailed analysis."
24,"To be eligible for selection, a company: 1."
25,must be a Hang Seng Composite LargeCap & MidCap Index constituent; 2.
26,"must pass the Velocity Test for Tradable Indexes (minimum velocity of 0.1% on monthly basis, details please refer to the Index Methodology General Guide); and 3."
27,must have a listing history of at least 3 months on the Stock Exchange (counting up to the index review meeting date).” 7.
28,"The sixth paragraph in the section headed “Selection Criteria” under “APPENDIX II – The Hang Seng Index” has been deleted in its entirety and replaced by the following: “The Index will also maintain at least 20 constituents that are classified as Hong Kong Securities1 and this number will be reviewed at least every two years.” The Manager accepts full responsibility for the accuracy of the information contained in this Fourth Addendum as at the date of publication and confirms, having made all reasonable enquiries, that to the best of its knowledge and belief there are no other facts the omission of which would make any statement in this Fourth Addendum misleading."
