sentence_id,text
0,1 IMPORTANT: This Addendum is supplemental to and forms part of the Prospectus of W.I.S.E.
1,"– CSI 300 China Tracker ® (the “Sub -Fund”) dated 25 April 2023 , the Addendum dated 23 May 2023 , the Second Addendum dated 13 September 2023, the Third Addendum dated 28 December 2023, the Fourth Addendum dated 29 April 2024 , the Fifth Addendum dated 25 October 2024 , the Sixth Addendum dated 14 November 2024 , the Seventh Addendum dated 30 June 2025 , the Eighth Addendum dated 28 July 2025 , the Ninth Addendum dated 29 A ugust 2025 and the Tenth Addendum dated 3 September 2025 (collectively, the “Prospectus”)."
2,"Unless otherwise defined herein, words and expressions defined in the Prospectus shall have the same meaning when used in this Addendum."
3,"The Manager accepts full re sponsibility for the accuracy of the information contained in this Addendum and confirm s, having made all reasonable enquiries, that to the best of its knowledge and belief, there are no other facts the omission of which would make any statement misleading."
4,"If you are in doubt about the contents of the Prospectus and this Addendum, you should seek independent professional financial advice."
5,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, the Securities and Futures Commiss ion ( “SFC”) and the Hong Kong Securities Clearing Company Limit ed take no responsibility for the contents of this A ddendum, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever ari sing from or in reliance upon the whole or any part of the contents of this Addendum."
6,SFC authorization is not a recommendation or endorsement of the Fund (as defined below) and the Sub-Fund nor does it guarantee the commercial merits of the Fund and the Sub-Fund or their performance.
7,It does not mean the Fund and the Sub -Fund are suitable for all investors nor is it an endorsement of their suitability for any particular investor or class of investors.
8,W.I.S.E.
9,– CSI 300 China Tracker® 標智滬深 300 中國指數基金® a sub-fund of the World Index Shares ETFs (the “Fund”) (a Hong Kong unit trust authorized under section 104 of the Securities and Futures Ordinance (Cap.
10,"571 of the laws of the Hong Kong SAR)) (Stock Code: 02827) Eleventh Addendum to the Prospectus The Prospectus is hereby supplemented as follows with effect from 10 April 2026: Under the section headed “ PARTIES” of the Prospectus, the list of directors of the Manager on page 2 shall be amended and restated as follows: “Directors of the Manager Liu Min Tse Yung Hoi Du Yan Zhang Haochuan Tham Ee Mern Lilian Wang Polly” 2 The Prospectus may only be distributed if accompanied by this Addendum."
11,10 April 2026
