sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,"This Eighth Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 19 September 2022 , First Addendum dated 1 February 2023, Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023, Fourth Addendum dated 4 December 2023, Fifth Addendum dated 30 April 2024 , Sixth Addendum dated 23 September 2024 and Seventh Addendum dated 23 April 2025."
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the content s of this document."
3,Authorization by the Securities and Futures Commission is not a r ecommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) Eighth Addendum Dated 30 June 2025 To the Prospectus Dated 19 September 2022 This Eighth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 19 September 2022 , the First Addendum dated 1 February 2023, Second Addendum dated 28 April 2023, Third Addendum dated 4 September 2023, Fourth Addendum dated 4 December 2023, Fifth Addendum dated 30 April 2024 , Sixth Addendum dated 23 September 2024 and Seventh Addendum dated 23 April 2025 (together, the ""Prospectus"") in relation to Tracker Fund of Hong Kong ("" TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Eighth Addendum and the Prospectus, this Eighth Addendum shall prevail."
