sentence_id,text
0,1 Product Key Facts iShares Core MSCI CHINA INDEX ETF BlackRock Asset Management North Asia Limited 5 December 2019 This is a passive exchange traded fund.
1,This statement provides you with key information about this product.
2,This statement is a part of the Prospectus.
3,You should not invest in this product based on this statement alone.
4,"Quick facts Stock code: 2801 Trading lot size: 200 units Manager: BlackRock Asset Management North Asia Limited Trustee, Registrar and Custodian: HSBC Institutional Trust Services (Asia) Limited Ongoing charges over a year # : Estimated to be 0.20% Tracking difference of the last calendar year ## : -0.33% Underlying Index: MSCI China Index Base currency: Hong Kong dollars Financial year end of this fund: 31 December Dividend policy: Annually, at Manager’s discretion (December each year) (if any)."
5,Distributions may be made out of capital or effectively out of capital as well as income at the Manager’s discretion.
6,Please refer to the risk factor “Dividends payable out of capital or effectively out of capital risk” on page 4 below.
7,ETF website: www.blackrock.com/hk (Please refer to the section Additional Information on how to access the product webpage) What is this product?
8,This is a fund constituted in the form of a unit trust.
9,The units of the iShares Core MSCI China Index ETF (the “ MSCI China ETF ”) are listed on The Stock Exchange of Hong Kong Limited (“ SEHK ”).
10,These units are traded on SEHK like listed stocks.
11,"Objective and Investment Strategy Objective The MSCI China ETF aims to provide investment results that, before fees and expenses, closely correspond to the performance of the MSCI China Index (the “ Underlying Index ”)."
12,# The ongoing charges figure represents the sum of the ongoing expenses chargeable to the MSCI China ETF expressed as a percentage of the average Net Asset Value.
13,"As the management fee for the MSCI China ETF was reduced from 0.59% to 0.20% effective 1 8 June 201 9, this is a best estimate figure based on the combination of MSCI China ETF’s actual ongoing expenses for the period from 1 January 201 9 to 1 7 June 201 9 and estimated ongoing expenses (including the previous management fee and reduction in management fee effective 1 8 June 201 9) for the period from 1 8 June 201 9 to 31 December 201 9 expressed as a percentage of the MSCI China ETF’s estimated average net assets for the period 1 January 201 9 to 31 December 201 9."
14,The actual figure may be different upon actual operation of the MSCI China ETF and may vary from year to year.
15,## This is the actual tracking difference of the calendar year ended 31 December 201 8.
16,Investors should refer to the website of the MSCI China ETF for more up-to-date information on actual tracking difference.
17,2 iShares Core MSCI CHINA INDEX ETF Objective and Investment Strategy (Cont’ d) Investment Strategy The MSCI China ETF may adopt either a representative sampling investment strategy or a replication investment strategy to achieve its investment objective.
18,A representative sampling investment strategy involves investing in a representative sample of the securities* in the Underlying Index (either directly or indirectly) selected by the Manager.
19,"The MSCI China ETF may or may not (either directly or indirectly) hold all of the Securities that are included in the Underlying Index, and may hold Securities which are not included in the Underlying Index but which the Manager believes will help the MSCI China ETF achieve its investment objective."
20,"The Manager will select securities based on their contribution to certain capitalisation, industry and fundamental investment characteristics and by doing so, seeking to construct a portfolio that perform like the Underlying Index."
21,A replication investment strategy involves investing in substantially all the securities (either directly or indirectly) in substantially the same weightings as those securities comprised in the Underlying Index.
22,The Manager may switch between the replication and the representative sampling investment strategies without notice to investors and in its absolute discretion.
23,"The MSCI China ETF may invest in financial derivative instruments (“FDIs”) including futures contracts for reducing tracking error, hedging purposes or to achieve its investment objective, subject to the limit that the MSCI China ETF’s net derivative exposure does not exceed 50% of MSCI China ETF’s NAV."
24,The MSCI China ETF may only enter into futures contracts which are traded on the Hong Kong Futures Exchange Limited or an international futures exchange which is recognized by the SFC or which is approved by the Trustee and the Manager.
25,"The MSCI China ETF currently does not intend to engage in any securities lending transactions, sale and repurchase transactions, reverse repurchase transactions or other similar over the counter transactions."
26,One month’s prior notice will be given to unitholders in the event the Manager intends to engage in such activities.
27,"The MSCI China ETF may invest in one or more physical exchange traded funds (ETFs) for cash management and contingency purposes only and if it considers that investing in them is in the best interests of the unitholders taking into account various factors including but not limited to returns to investors, fees, and market conditions."
28,"The MSCI China ETF may invest up to 1 0% of its NAV in one or more underlying ETFs which are non-eligible schemes or not authorised by the SFC and up to 30% of its NAV in each underlying ETF which are eligible schemes or authorised by the SFC, including those which are managed by the Manager or its Connected Persons or other third parties."
29,"The Manager intends to treat such underlying ETFs as collective investment schemes for the purposes of and subject to the requirements in Chapters 7.1 1, 7.1 1A and 7.1 1B of the Code."
30,"*Including Depositary Receipts and (ii) effective from 1 June 2018, China A shares (by investing via the Stock Connect)."
31,Underlying Index The Underlying Index is a free-float adjusted market capitalisation-weighted index that is compiled and published by MSCI Inc.
32,"It is designed to track the equity market performance of (i) Chinese securities (H shares, red chips and P chips) listed on the SEHK, (ii) B shares of Chinese securities listed on the Shanghai Stock Exchange and the Shenzhen Stock Exchange (and effective from 1 June 201 8, China A shares) and (iii) companies traded outside the country of classification (i.e."
33,foreign listed companies) including those traded by way of Depositary Receipts.
34,"As at 20 November 2019, the Underlying Index contained 500 stocks."
35,"For details (including the last closing index level and other important news), please refer to the index website at www.msci.com."
36,The index constituents and their respective weightings can be accessed on http://www.msci.com/constituents (this website has not been reviewed by the SFC).
37,Use of derivatives / investment in derivatives The MSCI China ETF’s net derivative exposure may be up to 50% of the MSCI China ETF’s NAV.
38,3 iShares Core MSCI CHINA INDEX ETF What are the key risks?
39,Investment involves risks.
40,Please refer to the Prospectus for details including the risk factors.
41,"Emerging market risk Generally, investments in emerging markets such as the PRC are subject to a greater risk of loss than investments in developed markets due to greater political, economic, taxation and regulatory uncertainty and risks linked to volatility and market liquidity."
42,Concentration risk The exposure of the MSCI China ETF is concentrated in companies with business operations based and/or controlled by shareholders in the PRC and may be more volatile than funds adopting a more diversified strategy.
43,Risks related to the PRC There can be no assurance that the PRC Government will continue to pursue economic or tax reform policies which will result in economic growth and social progress or continue its existing foreign exchange policy which have significantly reduced government foreign exchange controls.
44,There is also significant uncertainty in interpretation and enforcement of PRC regulations.
45,Liquidity risk The Shanghai Stock Exchange and Shenzhen Stock Exchange in which B shares are traded are undergoing development.
46,"This may result in higher market volatility, settlement difficulties and potential lack of liquidity due to low trading volume in the B shares markets, which may in turn result in significant price fluctuations and changes in the net asset value of the MSCI China ETF."
47,"Foreign security risk The MSCI China ETF invests in PRC companies which are subject to special risks not typically associated with investing in Hong Kong companies including the possibility of expropriation or confiscatory taxation, adverse changes in investment or exchange control regulations, political instability which may affect local investments in foreign countries and potential restrictions on the flow of international capital."
48,"Risks associated with investment in FDIs Risks associated with FDI include counterparty/credit risk, liquidity risk, valuation risk, volatility risk and over-the- counter transaction risk."
49,The leverage element/component of an FDI can result in a loss significantly greater than the amount invested in the FDI by the MSCI China ETF.
50,Exposure to FDI may lead to a high risk of significant loss by the MSCI China ETF.
51,Passive investment risk The MSCI China ETF is not actively managed and will not adopt any temporary defensive position against any market downturn.
52,"Therefore when there is a decline in the Underlying Index, the MSCI China ETF will also decrease in value."
53,Investors may suffer significant losses accordingly.
54,Underlying Index related risks There is no guarantee that the MSCI China ETF will achieve a high degree of correlation to the Underlying Index and therefore achieve its investment objective.
55,Market disruptions and regulatory restrictions could have an adverse effect on the MSCI China ETF’s ability to adjust its exposure to the required levels in order to track the Underlying Index.
56,"Errors in index data may occur from time to time and may not be identified and corrected for a period of time, and may have an adverse impact on the MSCI China ETF and its Unitholders."
57,4 iShares Core MSCI CHINA INDEX ETF What are the key risks?
58,(Cont’ d) 9.
59,"Tracking error risk Changes in the NAV of the MSCI China ETF may deviate from the performance of the Underlying Index due to factors such as fees and expenses, liquidity of the index constituents, as well as, changes to the Underlying Index."
60,There can be no assurance of exact or identical replication at any time of the performance of the Underlying Index.
61,Dividends payable out of capital or effectively out of capital risk The Manager may at its discretion pay dividends out of the capital of the MSCI China ETF.
62,"The Manager may also, at its discretion, pay dividend out of gross income while all or part of the fees and expenses of the MSCI China ETF are charged to/paid out of the capital of the MSCI China ETF, resulting in an increase in distributable income for the payment of dividends by the MSCI China ETF and therefore, the MSCI China ETF may effectively pay dividend out of capital."
63,Payment of dividends out of capital or effectively out of capital amounts to a return or withdrawal of part of an investor’s original investment or from any capital gains attributable to that original investment.
64,Any distributions involving payment of dividends out of or effectively out of the MSCI China ETF’s capital may result in an immediate reduction of the Net Asset Value per Unit.
65,"Trading risk Generally, retail investors can only buy or sell units on SEHK."
66,The trading price of the units of the MSCI China ETF on SEHK is subject to market forces and may trade at a substantial premium or discount to the NAV.
67,"Reliance on Market Maker risks Although the Manager will use its best endeavours to put in place arrangements so that at least one Market Maker will maintain a market for the units and that at least one Market Maker gives not less than 3 months’ notice prior to terminating market making arrangements, the liquidity in the market for the units may be adversely affected if there is no or only one Market Maker for the units."
68,There is also no guarantee that any market making activity will be effective.
69,5 iShares Core MSCI CHINA INDEX ETF How has the fund performed?
70,MSCI China ETF (%) Underlying Index (%) 2014 2015 2018201720162009 2010 2011 2012 2013 50 -25 0 25 50 75 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 MSCI China ETF Return (%) 59.16 3.96 -18.87 21.46 3.06 7.33 -8.18 0.34 54.10 -19.08 Underlying Index Return (%) 62.37 4.89 -18.48 22.50 3.68 7.98 -7.88 0.94 55.34 -18.75 • Past performance information is not indicative of future performance.
71,Investors may not get back the full amount invested.
72,"• The computation basis of the performance is based on the calendar year end, NAV-to-NAV, with dividends (if any) reinvested."
73,• These figures show by how much the MSCI China ETF increased or decreased in value during the calendar year shown.
