concept_id,domain,variant_id,base_meaning,headline
1,equity,1,earnings season update signals earnings downgrade for regional equity baskets,earnings season update is signaling earnings downgrade for regional equity baskets.
1,equity,2,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets are reacting as earnings season update points to earnings downgrade.
1,equity,3,earnings season update signals earnings downgrade for regional equity baskets,"earnings season update now suggests earnings downgrade, putting pressure on regional equity baskets."
1,equity,4,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets are being repriced because earnings season update indicates earnings downgrade.
1,equity,5,earnings season update signals earnings downgrade for regional equity baskets,"earnings downgrade is being signaled by earnings season update, affecting regional equity baskets."
1,equity,6,earnings season update signals earnings downgrade for regional equity baskets,"After earnings season update, markets are pricing in earnings downgrade for regional equity baskets."
1,equity,7,earnings season update signals earnings downgrade for regional equity baskets,"earnings season update implies earnings downgrade, so regional equity baskets are under review."
1,equity,8,earnings season update signals earnings downgrade for regional equity baskets,Investors read earnings season update as a sign of earnings downgrade for regional equity baskets.
1,equity,9,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets face renewed risk after earnings season update signaled earnings downgrade.
1,equity,10,earnings season update signals earnings downgrade for regional equity baskets,"earnings downgrade expectations increased following earnings season update, impacting regional equity baskets."
1,equity,11,earnings season update signals earnings downgrade for regional equity baskets,earnings season update has shifted expectations toward earnings downgrade for regional equity baskets.
1,equity,12,earnings season update signals earnings downgrade for regional equity baskets,"With earnings season update released, regional equity baskets are exposed to earnings downgrade."
1,equity,13,earnings season update signals earnings downgrade for regional equity baskets,"regional equity baskets are sensitive to earnings downgrade, and earnings season update reinforces that view."
1,equity,14,earnings season update signals earnings downgrade for regional equity baskets,earnings season update reinforces earnings downgrade concerns around regional equity baskets.
1,equity,15,earnings season update signals earnings downgrade for regional equity baskets,earnings downgrade risk is rising for regional equity baskets as shown by earnings season update.
1,equity,16,earnings season update signals earnings downgrade for regional equity baskets,"The message from earnings season update is earnings downgrade, which affects regional equity baskets."
1,equity,17,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets are being reassessed since earnings season update indicates earnings downgrade.
1,equity,18,earnings season update signals earnings downgrade for regional equity baskets,"Following earnings season update, traders link regional equity baskets to earnings downgrade."
1,equity,19,earnings season update signals earnings downgrade for regional equity baskets,earnings season update and earnings downgrade together are driving repricing in regional equity baskets.
1,equity,20,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets pricing now reflects earnings downgrade signaled by earnings season update.
2,rates,1,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,central bank policy statement is signaling rate hike expectations for duration-sensitive bond exposures.
2,rates,2,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures are reacting as central bank policy statement points to rate hike expectations.
2,rates,3,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"central bank policy statement now suggests rate hike expectations, putting pressure on duration-sensitive bond exposures."
2,rates,4,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures are being repriced because central bank policy statement indicates rate hike expectations.
2,rates,5,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"rate hike expectations is being signaled by central bank policy statement, affecting duration-sensitive bond exposures."
2,rates,6,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"After central bank policy statement, markets are pricing in rate hike expectations for duration-sensitive bond exposures."
2,rates,7,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"central bank policy statement implies rate hike expectations, so duration-sensitive bond exposures are under review."
2,rates,8,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,Investors read central bank policy statement as a sign of rate hike expectations for duration-sensitive bond exposures.
2,rates,9,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures face renewed risk after central bank policy statement signaled rate hike expectations.
2,rates,10,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"rate hike expectations expectations increased following central bank policy statement, impacting duration-sensitive bond exposures."
2,rates,11,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,central bank policy statement has shifted expectations toward rate hike expectations for duration-sensitive bond exposures.
2,rates,12,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"With central bank policy statement released, duration-sensitive bond exposures are exposed to rate hike expectations."
2,rates,13,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"duration-sensitive bond exposures are sensitive to rate hike expectations, and central bank policy statement reinforces that view."
2,rates,14,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,central bank policy statement reinforces rate hike expectations concerns around duration-sensitive bond exposures.
2,rates,15,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,rate hike expectations risk is rising for duration-sensitive bond exposures as shown by central bank policy statement.
2,rates,16,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"The message from central bank policy statement is rate hike expectations, which affects duration-sensitive bond exposures."
2,rates,17,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures are being reassessed since central bank policy statement indicates rate hike expectations.
2,rates,18,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"Following central bank policy statement, traders link duration-sensitive bond exposures to rate hike expectations."
2,rates,19,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,central bank policy statement and rate hike expectations together are driving repricing in duration-sensitive bond exposures.
2,rates,20,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures pricing now reflects rate hike expectations signaled by central bank policy statement.
3,commodity,1,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity market briefing is signaling raw material shortage for commodity-linked holdings.
3,commodity,2,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings are reacting as commodity market briefing points to raw material shortage.
3,commodity,3,commodity market briefing signals raw material shortage for commodity-linked holdings,"commodity market briefing now suggests raw material shortage, putting pressure on commodity-linked holdings."
3,commodity,4,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings are being repriced because commodity market briefing indicates raw material shortage.
3,commodity,5,commodity market briefing signals raw material shortage for commodity-linked holdings,"raw material shortage is being signaled by commodity market briefing, affecting commodity-linked holdings."
3,commodity,6,commodity market briefing signals raw material shortage for commodity-linked holdings,"After commodity market briefing, markets are pricing in raw material shortage for commodity-linked holdings."
3,commodity,7,commodity market briefing signals raw material shortage for commodity-linked holdings,"commodity market briefing implies raw material shortage, so commodity-linked holdings are under review."
3,commodity,8,commodity market briefing signals raw material shortage for commodity-linked holdings,Investors read commodity market briefing as a sign of raw material shortage for commodity-linked holdings.
