sentence_id,text
0,"PROSPECTUS 10 February 2012 Ping An of China CSI HK Dividend ETF Stock Code: 3070 Ping An of China CSI HK Mid Cap Select ETF Stock Code: 3072 Ping An of China CSI RAFI HK50 ETF Stock Code: 3098 The Stock Exchange of Hong Kong Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
1,"Each of the Ping An of China CSI HK Dividend ETF, the Ping An of China HK Mid Cap Select ETF and the Ping An of China CSI RAFI HK50 ETF has been authorised as a collective investment scheme by the Hong Kong Securities and Futures Commission."
2,SFC authorization is not a recommendation or endorsement of a product nor does it guarantee the commercial merits of a product or its performance.
3,It does not mean the product is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
4,"IMPORTANT: If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser."
5,PRODUCT KEY FACTS Ping An of China CSI HK Dividend ETF a sub-fund of the Ping An of China Trust (Stock Code: 3070) 10 February 2012 This is an exchange traded fund.
6,This statement provides you with key information about this product.
7,This statement is a part of the offering documents and must be read in conjunction with the Prospectus.
8,You should not invest in this product based on this statement alone.
9,"Quick facts Stock code: 3070 Trading lot size: 100 units Fund Manager: Ping An of China Asset Management (Hong Kong) Company Limited Underlying index: CSI Hong Kong Dividend Index Trustee: HSBC Institutional Trust Services (Asia) Limited Base currency: Hong Kong Dollars Estimated total Estimated to be 0.88% expense ratio*: per annum of the Net Asset Value Trading currency: Hong Kong Dollars Financial year end of this fund: 31 December Dividend policy: Semi-annually at the discretion of the Manager, usually in June and December Exchange listing: SEHK – Main Board ETF website: Manager’s website (http://asset.pingan.com.hk/eng/3070) What is this product?"
10,"The Ping An of China CSI HK Dividend ETF (“ HK Dividend ETF ”) is a sub -fund of the Pi ng An of China Trust, which is an umbrella unit trust established under Hong Kong law."
11,The HK Dividend ETF is a passively managed index tracking exchange traded fund under Chapter 8.6 and Appendix I of the SFC Code on Unit Trusts and Mutual Funds.
12,It is listed on The Stock Exchange of Hong Kong Limited (“ SEHK”).
13,The Units are traded on SEHK like listed stocks.
14,Objective and Investment Strategy Objective The HK Dividend ETF’s investment objective is to seek to track the performance of the CSI Hong Kong D ividend Index (the “Underlying Index”).
15,"Investment Strategy In order to achieve the investment objective, the HK Dividend ETF intends to primarily adopt a replication strategy to track the performance of the Underlying Index."
16,The HK Dividend ETF will dir ectly invest in substantially all of the constituent Securities of the Underlying Index (“ Index Shares”) in substantially the same weighting (i.e.
17,proportions) as these Index Shares have in the Underlying Index.
18,* The total expense ratio does not represent the estimated tracki ng error and does not include variable and extraordinary items (if any) borne by the HK Dividend ETF.
19,"Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 2 Where the adoption of a replication strategy is not efficient or practicable, or otherwise at the Manager’s discretion, the HK Dividend ETF may pursue a representative sampling strategy and directly invests in a representative sample of the Index Shares."
20,"As a result, the HK Dividend ETF may or may not hold all of the Index Shares and the Manager may overweight certain of the Index Shares relative to the relevant Index Shares’ respective weightings in the Underlying Index."
21,The HK Dividend ETF may invest in non -Index Shares which are listed on the SEHK as the Manager considers appropriate.
22,"The HK Dividend ETF does not intend to invest in financial derivative instruments, futures contracts, options on futures contracts, options and swaps or local currency and foreign currency exchange contracts for hed ging or investment purposes."
23,The HK Dividend ETF has no intention of having any direct or indirect exposure to China A Shares or B Shares as the Underlying Index does not comprise of China A Shares or B Shares.
24,"As at the date hereof, the HK Dividend ETF does not intend to engage in any stock lending or stock borrowing, or repurchase transactions or other similar OTC transactions."
25,"Any changes in respect of the Manager’s intention to enter into any stock lending or stock borrowing, or repurchase transactio ns is subject to the SFC’s prior approval and not less than one (1) month’s prior notice (or such other notice period as agreed with the SFC) will be given to Unitholders."
26,"The Manager may switch between the replication strategy and the representative samp ling strategy without prior notice to investors, in its absolute discretion, and as often as it believes is appropriate in order to achieve the investment objective of the HK Dividend ETF by tracking the Underlying Index as closely as possible to the benefit of investors."
27,"The Underlying Index (Reuters RIC: CSIH11140) (Bloomberg Ticker: CSIH1140) The Underlying Index, launched on 23 July 2009, is a stock index which seeks to reflect the performance of high dividend yield securities in the Hong Kong market by selecting the 30 securities with high dividend yield, stable dividend payment and good liquidity from the entire universe of securities listed on the SEHK."
28,"The Underlying Index is compiled and managed by the China Securities Index Co., Ltd ."
29,(the “ Index Provider”).
30,"As at 16 January 2012, the Underlying Index had a net market capitalization of HK$492.7 billion comprising 30 stocks listed on the SEHK from companies with operations in sectors ranging from utilities, financial s, consumer discretionary and i nformation technology, etc."
31,The Underlying Index does not have China A Share or B Share constituent stocks.
32,"For more information, please refer to the section “Index” for the HK Dividend ETF on page 28 of the Prospectus."
33,"As at 16 January 2012, the top 10 constituent securities of the Underlying Index and their respective weightings are listed below for reference purpose: Stock Code Constituent Name Sector Weight (%) 1."
34,2388.HK BOC Hong Kong Holdings Ltd Financials 11.13 2.
35,0823.HK Link REIT Financials 10.93 3.
36,0006.HK Power Assets Holdings Ltd Utilities 9.91 4.
37,0005.HK HSBC Holdings Plc Financials 9.86 5.
38,0002.HK CLP Holdings Ltd Utilities 9.62 6.
39,0019.HK Swire Pacific Ltd Financials 8.47 7.
40,0551.HK Yue Yuen Industrial Hldg Consumer Discretionary 3.96 8.
41,0522.HK ASM Pacific Technology Information Technology 3.73 9.
42,0902.HK Huaneng Power International Utilities 3.18 10.
43,"0330.HK Espirit Holdings Ltd Consumer Discretionary 2.99 For details, please refer to the website of the Index Provider at www.csindex.com.cn."
44,Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 3 What are the key risks?
45,Investment involves risks.
46,Please refer to the Prospectus for details including the risk factors.
47,Investment risk  The HK Dividend ETF is an investment fund.
48,There is no guarantee of the repayment of principal.
49,Therefore your investment in the fund may suffer losses.
50,"Portfolio concentration risk  As at 16 January 2012 , the Underlying Index consists of 30 constituent securities listed on the SEHK, and the aggregate weight ing of the top 10 constituent stocks of the Underlying Index accounts for around 73.78% of the Underlying Index."
51,HK Dividend ETF is therefore relatively concentrated in a limited number of stocks.
52,"The HK Dividend ETF is likely to be more volatile than a fund tracking an index with a greater number of constituent stocks, as the adverse performance of a constituent stock will have a greater impact on the value of the HK Dividend ETF."
53,Market concentration risk  The HK Dividend ETF is subject to concentration risk as a result of tracking the performance of companies whose operations and business are primarily from a single region (i.e.
54,China and Hong Kong).
55,"As at 16 January 2012 , Index Shares accounting for approximately 90.10% of the Underlying Index have exposure to mainland China and Hong Kong."
56,The HK Dividend ETF will likely be more volatile than a broadly-based fund such as a global or regional equity fund as it is more susceptible to fluctuations in value resulting from adverse conditions in that single region.
57,"Political, economic and social risks in China  In tracking the Underlying Index, the HK Dividend ETF will invest in some companies the securities of which are listed on the SEHK and have substantial business operations in China."
58,Such companies may have substantial exposure to the risks in China.
59,"As a result, changes in political, economic and social conditions in China could adversely affect the value of investments."
60,Distribution risk  Dividend distributions are not guaranteed and are subject to the discretion of the Manager.
61,"Therefore, investors may not receive any dividends from the HK Dividend ETF , notwithstanding that the constituent securities of the Underlying Index may have dividend distributions."
62,"Passive investment risk  The HK Dividend ET F is not “actively managed”, therefore when there is a decline in the Underlying Index, the HK Dividend ETF will also decrease in value."
63, The Manager may not adopt any temporary defensive position against any market downturn.
64,Investors may lose part or all of their investment.
65,"Trading risk  Generally, retail investors can only buy or sell Units on SEHK."
66,Investors pay certain charges (e.g.
67,trading fees and brokerage fees) to buy and sell Units on SEHK.
68,The trading prices of the Units on the SEHK are driven by market factors such as demand and supply of the Units.
69,"Therefore, the Units of the HK Dividend ETF may trade at a discount or premium to the net asset value of the Units ."
70,"Retail investors may pay more than the net asset value per Unit when buying a Unit on the SEHK, and may receive less than the net asset value per Unit when selling a Unit on the SEHK."
71,"Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 4 Tracking error risk  Due to fees and expenses of the HK Dividend ETF, liquidity of the market and different investment strategy adopted by the Manager and other factors, the returns of the HK Dividend ETF may deviate from that of the Underlying Index."
72,"Termination risk  If the Index Provider terminates the Underlying Index, or does not allow the HK Dividend ETF to use the Underlying Index, and ther e is no successor index, or if its fund size falls below HK$200,000,000, the HK Dividend ETF may be terminated."
73,Market maker reliance risk  The Manager intends to ensure that there will always be at least one market maker in respect of the Units.
74,It is possible that there is only one SEHK market maker to the HK Dividend ETF.
75,Investors should however note that liquidity in the market for the Units may be adversely affected if there is no market maker for the HK Dividend ETF.
76,"If the market maker fails to dis charge its duties as the sole market maker, it is possible that the liquidity in the market for the Units may be severely affected and in the worst circumstances, there may even be no liquid trading market for the Units."
77,"Regulatory and market intervention  The trading of the HK Dividend ETF may be subject to such intervention powers as may be exercised by the regulators, including the SFC and SEHK."
78,"If there is any regulatory and/or market intervention, the trading of the Units on the SEHK may be suspende d or interrupted and the HK Dividend ETF may be unable to achieve its investment objective as intended."
79,"In worst scenario, there is also a risk that the value of the Units in the HK Dividend ETF may fall significantly."
80,Is there any guarantee?
81,The HK Divi dend ETF does not provide any guarantees.
82,You may not get back the amount of money you invest.
83,What are the fees and charges?
84,"Please refer to Schedule 1 of the Prospectus for details of other fees and expenses applicable to the creation or redemption, or dealing in the Units of the HK Dividend ETF."
85,Charges incurred when trading the HK Dividend ETF on SEHK Fee What you pay Brokerage fee At each broker’s discretion Transaction Ievy 0.003% of the trading price of the Units1 Trading fee 0.005% of the trading price of the Units2 Stamp duty [] 0.2% of the trading price of the Units3 1.
86,"Transaction levy of 0.003 per cent (0.003%) of the price of the Units, payable by the buyer and the seller."
87,"Trading fee of 0.005 per cent (0.005%) of the price of the Units, payable by the buyer and the seller."
88,"Stamp duty of 0.2 per cent (0.2%) of the price of the Units, half of which (i.e."
89,0.1%) is payable by the buyer and the other half payable by the seller of the Units.
90,Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 5 Ongoing fees payable by the fund The following expenses will be paid out of the HK Dividend ETF.
91,They affect you because they reduce the Net Asset Value which may affect the trading price.
92,"Annual rate (as a % of the fund’s NAV) Management fee* Currently 0.55% per annum, up to a maximum of 2% per annum."
93,"Trustee fee* Currently 0.14% per annum for the first HK$800 million; 0.12% per annum for the next HK$800 million and 0.10% per annum for the remaining balance of the fund’s NAV, subject to a monthly m inimum of HK$70,000 and up to a maximum of 1% per annum."
94,Other ongoing costs Please refer to Schedule 1 of the Prospectus for details of the ongoing costs payable by the HK Dividend ETF.
95,* Please note that some fees may be increased up to a permitte d maximum amount by providing three (3) months’ prior notice (or such shorter period approved by the SFC) to Unitholders.
96,Please refer to the section on “Fees and Charges” in the Prospectus.
97,"Additional Information You can find the following informat ion of the HK Dividend ETF on the Manager’s website (http://asset.pingan.com.hk/eng/3070):  The last published prospectus and its product key facts statement;  Latest annual and semi-annual financial reports of the HK Dividend ETF in English;  Public announcements and notices made by the HK Dividend ETF, including information in relation to the HK Dividend ETF and the Underlying Index, notices of the suspens ion of calculation of Net Asset Value, changes in fees and charges, the suspension and resumption of trading of Units, and notices relating to material alterations or additions to the offering documents or the constitutive documents of the HK Dividend ETF;  List of Participating Dealers;  Holdings of the HK Dividend ETF (updated on a daily basis);  The last closing NAV per Unit of the HK Dividend ETF; and  Near real-time estimated NAV per Unit of the HK Dividend ETF throughout each Dealing Day."
98,"Important  If you are in doubt, you should seek professional advice."
99, The SFC takes no responsibility for the contents of this statement and makes no representation as to its accuracy or completeness.
