sentence_id,text
0,1 | Page Search Guide for Listed Company Publications – Predefined Documents Two different groups of predefined documents can be searched and viewed from these pages:  Predefined Search It allows users to search and view listed company announcements by using the predefined search parameters of headline categories.
1, Summary of Announcements It provides users with webpages of summary of announcements arising from issuers’ regulatory filings and disclosures.
2,The webpages are based on the relevant predefined headline categories .
3,Predefined Search Predefined Search allows users to search the latest or last seven days listed company documents of current securities published on the HKEXnews Website with the predefined search parameters of headline categories.
4,You can select listed company documents from a predefined list of frequently requested documents.
5,"By default, documents published in the last seven days will be displayed on the search results page."
6,The latest listed company documents will be displayed by clicking the “Latest” button.
7,"For example, if you select “Financial Statements/ESG Information”, all annual reports, interim/half -year reports, quarterly reports, financial disclosures or reports of structured products issuers and financial reports of debt securities published in the last seven days will be shown."
8,"You can sort the search results by the Release Time, Stock Code or Stock Short Name."
9,"For details of the searchable predefined documents, you can click the Details button to view the full list and the headline categories of the corresponding listed company documents."
10,2 | Page Summary of Announcements Announcements relating to issuers’ regulatory filings and disclosures are displayed on different webpages which are based on the relevant predefined headline categories .
11,Information is updated on a daily basis.
