sentence_id,text
0,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
1,This First Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 8 October 2025.
2,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the content s of this document."
3,Authorization by the Securities and Futures Commission is not a r ecommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
4,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
6,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
7,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong (HKD Counter Stock Code: 2800 / RMB Counter Stock Code: 82800) First Addendum Dated 27 January 2026 To the Prospectus Dated 8 October 2025 This First Addendum forms an integral part of and should be read in conjunction with the prospectus dated 8 October 2025 (together, the ""Prospectus"") in relation to Tracker Fund of Hong Kong ("" TraHK"")."
8,All information contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this First Addendum and the Prospectus, this First Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby amended and supplemented as follows: 1.
12,"Paragraph 4(a) and 4(g) under the part headed “ The Supervisory Committee” under the part “Removal/Retirement of the Manager, the Trustee and the Promoter” under the sub- section headed “Administrative Provisions of the Trust Deed” under the section headed “TRAHK” have been deleted in its entirety and replaced by the following: “ (a) Mr."
13,George Hongchoy: Mr.
14,Hongchoy is the Chairman of the Supervisory Committee.
15,"He is a trustee of the University of Pennsylvania, an adjunct professor of the Department of Real Estate and Construction of The University of Hong Kong, a trustee of the Urban Land Institute and an advisor of Our Hong Kong Foundation."
16,"He is a Senior Fellow of Hong Kong Securities and Investment Institute, a Fellow Member of the Hong Kong Institute of Certified Public Accountants, the Chartered Accountants Australia and New Zealand, the Hong Kong Institute of Directors, the Royal Institution of Chartered Surveyors and the Institute of Shopping Centre Management."
17,"Hongchoy holds a Bachelor of Commerce degree from the University of Canterbury and an MBA degree from The Wharton School, University of Pennsylvania."
18,(g) Mr.
19,David Russell: Mr.
20,"Russell served as Overall Manager in Charge for Citi Global Markets (HK), Alternate CEO of Citibank N.A."
21,"(HK), CEO of Citicorp International, and as a member of Citigroup’s Asia Pacific Operating Committee until his retirement in 2024."
22,"Over his 23 years on leading Citibank’s Securities Services business in Asia Pacific region, he oversaw custody, fund services, securities finance, depositary receipts and related units."
23,He is currently the Chairman of the Market Advisory Group for the CMU OmniClear business of Hong Kong Monetary Authority.
24,"He also advises the Chinese University of Hong Kong’s MSc (Finance) and BSc (Quantitative Finance) programs, and has previously contributed as a Board Member of the OTC Clearing unit of Hong Kong Exchanges and Clearing Limited and a Board Member of the Treasury Markets Association of Hong Kong."
25,Russell further serves in Charitable roles as a Board member of the Nesbitt Centre and the Gordon Russell Design Museum.
26,Russell holds a BSc (Dual Honors) in Data Science and Accountancy from University of Leeds.” 2.
27,The sub-section entitled “ The Manager” under the section entitled “ Management and Administration” of the Prospectus shall be deemed to be deleted in its entirety and replaced with the following: “The Manager The Manager is a wholly-owned subsidiary of Hang Seng Bank Limited.
28,"The Manager, the investment division of Hang Seng Bank Limited, is a Hong Kong-based asset management company specialising in managing funds related to mainland China and Hong Kong markets."
29,The Manager is committed to providing investors with comprehensive investment management services through investment managers with extensive experience in managing funds (including a series of exchange -traded funds and retail funds) and investment portfolios for institutional and private clients.
30,"The Manager is a leading home-grown asset manager in Hong Kong, with extensive market leading asset management experience since its incorporation in Hong Kong in April 1993."
31,"The directors of the Manager are Wai Man Vivien Chiu, Wah Lun Rannie Lee, Say Pin Saw, Ka Wai Kathy Cheung, Pui Shan Lee, Husne Ozge Usta and Ho Ching Paul So.” 3."
32,"The sub-section entitled “ Directors of the Manager ” under the section entitled “PARTIES INVOLVED IN THE OFFERING” of the Prospectus shall be deemed to be deleted in its entirety and replaced with the following: “ Directors of the Manager Wai Man Vivien Chiu Wah Lun Rannie Lee Say Pin Saw Ka Wai Kathy Cheung Pui Shan Lee Husne Ozge Usta Ho Ching Paul So” The Manager accepts full responsibility for the accuracy of the information contained in this First Addendum as at the date of publication and confirms, having made all reasonable enquiries, that to the best of its knowledge and belief there are no other facts the omission of which would make any statement in this First Addendum misleading."
