news_id,Date,Headline,Source,Market_Event,Sector,query_text,rank,predicted_ticker,final_score,bi_score,cross_score,boost,sentiment_label,sentiment_confidence,sentiment_score,sentiment_adjusted_score
1,2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Commodity Price Shock,Technology,Nikkei 225 index benefits from a weaker yen | Commodity Price Shock | Technology | High | DAX,1,03153,0.928045,0.828045,0.0,0.1,negative,0.845792,-1,0.731812
1,2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Commodity Price Shock,Technology,Nikkei 225 index benefits from a weaker yen | Commodity Price Shock | Technology | High | DAX,2,02830,0.918255,0.818255,0.0,0.1,negative,0.845792,-1,0.724092
1,2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Commodity Price Shock,Technology,Nikkei 225 index benefits from a weaker yen | Commodity Price Shock | Technology | High | DAX,3,03486,0.917398,0.817398,0.0,0.1,negative,0.845792,-1,0.723416
2,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Central Bank Meeting,Retail,Government subsidy program gives a lift to the agriculture sector | Central Bank Meeting | Retail | Low | Shanghai Composite,1,03077,0.786336,0.786336,0.0,0.0,positive,0.917761,1,0.966753
2,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Central Bank Meeting,Retail,Government subsidy program gives a lift to the agriculture sector | Central Bank Meeting | Retail | Low | Shanghai Composite,2,03003,0.782821,0.782821,0.0,0.0,positive,0.917761,1,0.962432
2,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Central Bank Meeting,Retail,Government subsidy program gives a lift to the agriculture sector | Central Bank Meeting | Retail | Low | Shanghai Composite,3,02805,0.781665,0.781665,0.0,0.0,positive,0.917761,1,0.96101
3,2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Consumer Confidence Report,Retail,New housing data release shows a slowdown in market activity | Consumer Confidence Report | Retail | Medium | Neutral | Shanghai Composite,1,03165,0.801017,0.801017,0.0,0.0,negative,0.970689,-1,0.606632
3,2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Consumer Confidence Report,Retail,New housing data release shows a slowdown in market activity | Consumer Confidence Report | Retail | Medium | Neutral | Shanghai Composite,2,03428,0.800129,0.800129,0.0,0.0,negative,0.970689,-1,0.60596
3,2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Consumer Confidence Report,Retail,New housing data release shows a slowdown in market activity | Consumer Confidence Report | Retail | Medium | Neutral | Shanghai Composite,3,03179,0.79575,0.79575,0.0,0.0,negative,0.970689,-1,0.602644
4,2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Commodity Price Shock,Consumer Goods,Massive stock buyback program announced by a consumer goods company | Commodity Price Shock | Consumer Goods | Low | Positive | NSE Nifty,1,02840,1.003615,0.803615,0.0,0.2,neutral,0.685082,0,1.003615
