sentence_id,text
0,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the conte nts of this document."
1,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor i s it an endorsement of its suitability for any particular investor or class of investors.
3,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HK SAR Government ."
4,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
5,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 Sixth Addendum Dated 28 April 2017 To The Prospectus Dated 24 June 2011 This Sixth Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 June 2011, the first addendum dated 29 August 2014, the second addendum dated 31 December 2014 , the third addendum dated 30 April 2015, the fourth addendum dated 19 February 2016 and the fifth addendum dated 29 April 2016 (together, the “Prospectus”) in relation to Tracker Fund of Hong Kong (“TraHK”)."
6,"All information If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser ."
7,"This Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 June 2011, the first addendum dated 29 August 2014, the second addendum dated 31 December 2014, the third addendum dated 30 April 2015, the fourth addendum dated 19 February 2016 and the fifth addendum dated 29 April 2016."
8,contained in the Prospectus is deemed to be incorporated herein.
9,"In the case of any conflict between this Sixth Addendum and the Prospectus, this Sixth Addendum shall prevail."
10,Words and expressions not specifically defined herein will bear the same meanings as those attributed to them in the Prospectus.
11,The Prospectus is hereby supplemented as follows: 1.
12,The second sentence of the paragraph under the section entitled “Supervisory Committee” under “SUMMARY” of the Prospectus shall be deemed to be deleted and replaced with the following: “The Supervisory Committee currently consists of six members.” 2.
