sentence_id,text
0,"The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
1,The iShares Asia Trust and the iShares Core MSCI China ETF have been authorised as collective investment schemes by the Hong Kong Securities and Futures Commission.
2,Authorisation by the Securities and Futures Commission is not a recommendation or endorsement of a product nor does it guarantee the commercial merits of a product or its performance.
3,It does not mean the product is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
4,"28 April 2023 IMPORTANT: Investments involve risks, including the loss of principal."
5,Investors are advised to consider their own investment objectives and circumstances in determining the suitability of an investment in the iShares Core MSCI China ETF (the “MSCI China ETF”).
6,An investment in the MSCI China ETF may not be suitable for everyone.
7,"If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
8,iShares Core MSCI China ETF (HKD Counter Stock Code: 2801) (USD Counter Stock Code: 9801) iShares Asia Trust A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
9,"571) of Hong Kong Listing Agent and Manager BlackRock Asset Management North Asia Limited 貝萊德資產管理北亞有限公司 i IMPORTANT INFORMATION This Prospectus relates to the offer in Hong Kong of Units in the iShares Core MSCI China ETF (the “MSCI China ETF”), a sub-fund of iShares Asia Trust (the “Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated 16 November 2001 between Barclays Global Investors North Asia Limited (now known as BlackRock Asset Management North Asia Limited) (the “Manager”) and HSBC Institutional Trust Services (Asia) Limited (the “Trustee”) as amended from time to time."
10,"The Manager accepts full responsibility for the accuracy of the information contained in this Prospectus and for the accuracy and fairness of the opinions expressed (at the date of its publication), and confirms that this Prospectus includes particulars given in compliance with the Rules Governing the Listing of Securities on The Stock Exchange of Hong Kong Limited (the “SEHK”) and the Code on Unit Trusts and Mutual Funds (the “Code”) and the Overriding Principles of the SFC Handbook for Unit Trusts and Mutual Funds, Investment-Linked Assurance Schemes and Unlisted Investment Products for the purposes of giving information with regard to the Units of the MSCI China ETF and that having made all reasonable enquiries, the Manager confirms that, to the best of its knowledge and belief that the information contained in this Prospectus is true, accurate and complete in all material respects and not misleading; there are no other matters the omission of which would make any statement in this Prospectus misleading, whether of fact or opinion; any inferences that might reasonably be drawn from any statement in this Prospectus are true and are not misleading; and all opinions and intents expressed in this Prospectus have been arrived at after due and careful consideration and are founded on bases and assumptions that are fair and reasonable."
11,"The Trustee is not responsible for the preparation of this Prospectus and shall not be held liable to any person for any information disclosed in this Prospectus, except for the information regarding the Trustee itself under “Trustee, Registrar and Custodian”."
12,The MSCI China ETF is a fund falling within Chapter 8.6 of the Code.
13,The Trust and the MSCI China ETF are authorised by the Securities and Futures Commission (the “SFC”) in Hong Kong pursuant to section 104 of the Securities and Futures Ordinance.
14,The SFC takes no responsibility for the financial soundness of the Trust and the MSCI China ETF or for the correctness of any statements made or opinions expressed in this Prospectus.
15,Authorisation by the SFC is not a recommendation or endorsement of the Trust and the MSCI China ETF nor does it guarantee the commercial merits of the MSCI China ETF or its performance.
16,It does not mean the MSCI China ETF is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
17,"Applicants for Units shall undertake to the Manager and the Trustee that, to the best of their knowledge, the monies used to invest in Units in the MSCI China ETF are not sourced from mainland China."
18,"Applicants for Units should consult their financial advisers, tax advisers and take legal advice as appropriate as to whether any governmental or other consents are required, or other formalities need to be observed, to enable them to acquire Units as to whether any taxation effects, foreign exchange restrictions or exchange control requirements are applicable and to determine whether any investment in the MSCI China ETF is appropriate for them."
19,Dealings in the Units in the MSCI China ETF (the HKD traded Units) on the SEHK commenced on 28 November 2001.
20,"Units in the MSCI China ETF have been accepted as eligible securities by Hong Kong Securities Clearing Company Limited (“HKSCC”) for deposit, clearing and settlement in the Central Clearing and Settlement System (“CCASS”) with effect from 28 November 2001."
21,ii Further applications may be made to list units in additional Index Funds constituted under the Trust in future on the SEHK.
22,"No action has been taken to permit an offering of Units of the MSCI China ETF or the distribution of this Prospectus in any jurisdiction other than Hong Kong and, accordingly, the Prospectus does not constitute an offer or solicitation to anyone in any jurisdiction in which such offer is not authorised or to any person to whom it is unlawful to make such offer or solicitation."
23,"Furthermore, distribution of this Prospectus shall not be permitted unless it is accompanied by a copy of the latest annual financial report of the MSCI China ETF and, if later, its most recent interim financial report, which form a part of this Prospectus."
24,"In particular: (a) Units in the MSCI China ETF have not been registered under the United States Securities Act of 1933 (as amended) and except in a transaction which does not violate such Act, may not be directly or indirectly offered or sold in the United States of America or any of its territories or for the benefit of a US Person (as defined in Regulation S of such Act); (b) The MSCI China ETF has not been and will not be registered under the United States Investment Company Act of 1940, as amended."
25,"Accordingly, Units may not, except pursuant to an exemption from, or in a transaction not subject to, the regulatory requirements of the US Investment Company Act of 1940 be acquired by a person who is deemed to be a US Person under the 1940 Act and regulations; (c) Units may not, except pursuant to a relevant exemption, be acquired or owned by, or acquired with the assets of an ERISA Plan."
26,"An ERISA Plan is defined as (i) any retirement plan subject to Title I of the United States Employee Retirement Income Securities Act of 1974, as amended; or, (ii) any individual retirement account or plan subject to Section 4975 of the United States Internal Revenue Code of 1986, as amended; and (d) Units may not be acquired by any person or investor which may be prohibited to invest in the MSCI China ETF by its relevant regulator, government or other statutory authority."
27,"Where the Manager becomes aware that the Units are directly or indirectly beneficially owned by any person in breach of the above restrictions, the Manager may give notice to such person requiring him to transfer such Units to a person who would not thereby be in contravention of such restrictions or to request in writing the redemption of such Units in accordance with the trust deed."
28,"Investors should note that any amendment, addendum or replacement to this Prospectus will only be posted on the Manager’s website (www.blackrock.com/hk)."
29,Investors should refer to “Information Available on the Internet” for more details.
30,"iShares® and BlackRock® are registered trademarks of BlackRock, Inc., or its subsidiaries in the United States and elsewhere."
31,"All other trademarks, servicemarks or registered trademarks are the property of their respective owners."
32,"©2023 BlackRock, Inc."
33,All rights reserved.
34,"iii DIRECTORY MANAGER BLACKROCK ASSET MANAGEMENT NORTH ASIA LIMITED 16/F CHAMPION TOWER 3 GARDEN ROAD, CENTRAL HONG KONG DIRECTORS OF THE MANAGER BELINDA MARY BOA SUSAN WAI-LAN CHAN RACHEL LORD SARAH ROMBOM JAMES RABY SUB-MANAGERS BLACKROCK (SINGAPORE) LIMITED #18-01, TWENTY ANSON 20 ANSON ROAD SINGAPORE 079912 BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED 12 THROGMORTON AVENUE LONDON EC2N 2DL UNITED KINGDOM BLACKROCK JAPAN CO., LTD."
