sentence_id,text
0,PROSPECTUS iShares Core Hang Seng Index ETF (HKD Counter Stock Code: 03115) (RMB Counter Stock Code: 83115) (USD Counter Stock Code: 09115) iShares Asia Trust A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.
1,"571) of Hong Kong Listing Agent and Manager BlackRock Asset Management North Asia Limited 貝萊德資產管理北亞有限公 司 5 December 2019 The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
2,The iShares Asia Trust and the iShares Core Hang Seng Index ETF have been authorised as collective investment schemes by the Hong Kong Securities and Futures Commission.
3,Authorisation by the Securities and Futures Commission is not a recommendation or endorsement of a product nor does it guarantee the commercial merits of a product or its performance.
4,It does not mean the product is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
5,"IMPORTANT: Investments involve risks, including the loss of principal."
6,Investors are advised to consider their own investment objectives and circumstances in determining the suitability of an investment in the iShares Core Hang Seng Index ETF .
7,An investment in the iShares Core Hang Seng Index ETF may not be suitable for everyone.
8,"If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser for independent financial advice."
9,"i IMPORT ANT INFORMATION This Prospectus relates to the offer in Hong Kong of Units in the iShares Core Hang Seng Index ETF, a sub-fund of the iShares Asia Trust (the “Trust”), an umbrella unit trust established under Hong Kong law by a trust deed dated 1 6 November 2001 between Barclays Global Investors North Asia Limited (now known as BlackRock Asset Management North Asia Limited) (the “Manager”) and HSBC Institutional Trust Services (Asia) Limited (the “Trustee”) as amended from time to time."
10,"The Manager accepts full responsibility for the accuracy of the information contained in this Prospectus and for the accuracy and fairness of the opinions expressed (at the date of its publication), and confirm that this Prospectus includes particulars given in compliance with the Rules Governing the Listing of Securities on The Stock Exchange of Hong Kong Limited (the “SEHK”) and the Code on Unit Trusts and Mutual Funds (the “Code”) and the Overarching Principles of the SFC Handbook for Unit Trusts and Mutual Funds, Investment-Linked Assurance Schemes and Unlisted Investment Products for the purposes of giving information with regard to the Units of the iShares Core Hang Seng Index ETF and that having made all reasonable enquiries, the Manager confirms that, to the best of its knowledge and belief that the information contained in this Prospectus is true, accurate and complete in all material respects and not misleading; there are no other matters the omission of which would make any statement in this Prospectus misleading, whether of fact or opinion; any inferences that might reasonably be drawn from any statement in the Prospectus are true and are not misleading; and all opinions and intents expressed in this Prospectus have been arrived at after due and careful consideration and are founded on bases and assumptions that are fair and reasonable."
11,"The Trustee is not responsible for the preparation of this Prospectus and shall not be held liable to any person for any information disclosed in this Prospectus, except for the information regarding the Trustee itself under “Trustee and Registrar”."
12,The iShares Core Hang Seng Index ETF is a fund falling within Chapter 8.6 of the Code.
13,The Trust and the iShares Core Hang Seng Index ETF are authorised by the Securities and Futures Commission (the “SFC”) in Hong Kong pursuant to section 1 04 of the Securities and Futures Ordinance.
14,The SFC takes no responsibility for the financial soundness of the iShares Core Hang Seng Index ETF or for the correctness of any statements made or opinions expressed in this Prospectus.
15,Authorisation by the SFC is not a recommendation or endorsement of the Trust or the iShares Core Hang Seng Index ETF nor does it guarantee the commercial merits of the iShares Core Hang Seng Index ETF or its performance.
16,It does not mean the iShares Core Hang Seng Index ETF is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
17,"Applicants for Units shall undertake to the Manager and the Trustee that, to the best of their knowledge, the monies used to invest in Units in the iShares Core Hang Seng Index ETF are not sourced from mainland China."
18,"Applicants for Units should consult their financial adviser, tax advisers and take legal advice as appropriate as to whether any governmental or other consents are required, or other formalities need to be observed, to enable them to acquire Units as to whether any taxation effects, foreign exchange restrictions or exchange control requirements are applicable and to determine whether any investment in the iShares Core Hang Seng Index ETF is appropriate for them."
19,Dealings in the Units in the iShares Core Hang Seng Index ETF on the SEHK commenced on 23 November 201 6.
20,"Units in the iShares Core Hang Seng Index ETF have been accepted as eligible securities by the Hong Kong Securities Clearing Company Limited (“HKSCC”) for deposit, clearing and settlement in the Central Clearing and Settlement System (“CCASS”) with effect from 23 November 201 6."
21,Settlement of transactions between participants of the SEHK is required to take place in CCASS on the second CCASS settlement day after any trading day.
22,All activities under CCASS are subject to the General Rules of CCASS and CCASS Operational Procedures in effect from time to time.
23,Further applications may be made to list units in additional Index Funds constituted under the Trust in future on the SEHK.
24,"ii No action has been taken to permit an offering of Units of the iShares Core Hang Seng Index ETF or the distribution of this Prospectus in any jurisdiction other than Hong Kong and, accordingly, the Prospectus does not constitute an offer or solicitation to anyone in any jurisdiction in which such offer is not authorised or to any person to whom it is unlawful to make such offer or solicitation."
25,"Furthermore, distribution of this Prospectus shall not be permitted unless it is accompanied by a copy of the latest annual financial report of the iShares Core Hang Seng Index ETF (where existing) and, if later, its most recent interim financial report, which form a part of this Prospectus."
26,"In particular: (a) Units in the iShares Core Hang Seng Index ETF have not been registered under the United States Securities Act of 1933 (as amended) and except in a transaction which does not violate such Act, may not be directly or indirectly offered or sold in the United States of America or any of its territories or for the benefit of a US Person (as defined in Regulation S of such Act); (b) The iShares Core Hang Seng Index ETF has not been and will not be registered under the United States Investment Company Act of 1940, as amended."
27,"Accordingly, Units may not, except pursuant to an exemption from, or in a transaction not subject to, the regulatory requirements of the US Investment Company Act of 1940 be acquired by a person who is deemed to be a US Person under the 1940 Act and regulations; (c) Units may not, except pursuant to a relevant exemption, be acquired or owned by, or acquired with the assets of an ERISA Plan."
28,"An ERISA Plan is defined as (i) any retirement plan subject to Title I of the United States Employee Retirement Income Securities Act of 1974, as amended; or, (ii) any individual retirement account or plan subject to Section 4975 of the United States Internal Revenue Code of 1986, as amended."
29,"Where the Manager becomes aware that the Units are directly or indirectly beneficially owned by any person in breach of the above restrictions, the Manager may give notice to such person requiring him to transfer such Units to a person who would not thereby be in contravention of such restrictions or to request in writing the redemption of such Units in accordance with the trust deed."
30,"Investors should note that any amendment, addendum or replacement to this Prospectus will only be posted on the Manager’s website ( www.blackrock.com/hk )."
31,Investors should refer to “Information Available on the Internet” for more details.
32,"iShares ® and BlackRock ® are registered trademarks of BlackRock, Inc., or its subsidiaries (collectively “BlackRock”) in the United States and elsewhere."
33,"All other trademarks, servicemarks or registered trademarks are the property of their respective owners."
34,"©201 8 BlackRock, Inc."
35,All rights reserved.
36,"iii DIRECTORY MANAGER BLACKROCK ASSET MANAGEMENT NORTH ASIA LIMITED 1 6/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG TRUSTEE, REGISTRAR AND CUSTODIAN HSBC INSTITUTIONAL TRUST SERVICES (ASIA) LIMITED 1 QUEEN’S ROAD CENTRAL HONG KONG AUDITORS PRICEWATERHOUSECOOPERS 22ND FLOOR PRINCE’S BUILDING CENTRAL HONG KONG DIRECTORS OF THE MANAGER BELINDA BOA GERALDINE BUCKINGHAM SUSAN WAI-LAN CHAN ANDREW JOHN HAMBLETON ANDREW RAYMOND LANDMAN GRAHAM DOUGLAS TURL SERVICE AGENT HK CONVERSION AGENCY SERVICES LIMITED 8/F, TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG LISTING AGENT BLACKROCK ASSET MANAGEMNT NORTH ASIA LIMITED 1 6/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG LEGAL ADVISER TO THE MANAGER SIMMONS & SIMMONS 30TH FLOOR, ONE TAIKOO PLACE 979 KING’S ROAD HONG KONG T ABLE OF CONTENTS INTRODUCTION ."
37,.1 The Trust and the iShares Core Hang Seng Index ETF .
38,.1 Investment Objective .
39,.1 Investment Strategy .
40,.1 Leverage .
41,.2 Investment and Borrowing Restrictions .
42,.2 Cross-trades .
43,.2 DESCRIPTION OF THE ISHARES CORE HANG SENG INDEX ETF .
44,.3 CREATIONS AND REDEMPTIONS (PRIMARY MARKET) .
45,.9 Investment in the iShares Core Hang Seng Index ETF .
46,.9 Creation by Participating Dealers .
47,.9 Redemption of Units .
48,12 Redemption Gate .
49,1 5 Directed Cash Dealing .
50,1 5 Suspension of Creations and Redemptions .
51,1 5 Transfer of Units .
52,1 6 Multi-Counter .
53,1 6 EXCHANGE LISTING AND TRADING (SECONDARY MARKET) .
54,1 7 DETERMINATION OF NET ASSET VALUE .
55,19 Suspension of Net Asset Value .
56,20 Issue Price and Redemption Value .
57,20 FEES AND EXPENSES .
58,21 Fees and Expenses Payable by the iShares Core Hang Seng Index ETF .
59,22 RISK FACTORS .
60,23 Investment Risk .
61,23 Market Trading Risks Associated with the iShares Core Hang Seng Index ETF .
62,27 Risks Associated with the Underlying Index .
63,29 Regulatory Risks .
64,31 MANAGEMENT OF THE TRUST .
65,33 The Manager .
66,33 Trustee and Registrar .
67,35 Indemnities of the Trustee and Manager .
68,36 Service Agent .
69,36 Auditor .
