sentence_id,text
0,"6411841-v1.2 10-40248241 30 April 2015 The Stock Exchange of Hong Kong Limited, Hong Kong Exchanges and Clearing Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this document, make no representation as to its accuracy or completeness and expressly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this document."
1,Authorization by the Securities and Futures Commission is not a recommendation or endorsement of TraHK nor does it guarantee the commercial merits of TraHK or its performance.
2,It does not mean TraHK is suitable for all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
3,"The performance of TraHK, the Net Asset Value per Unit and the performance by the Manager and the Trustee of their respective obligations are not guaranteed by the HKSAR Government."
4,The HKSAR Government has given no guarantee or assurance that the investment objective of TraHK will be met.
5,"TRACKER FUND OF HONG KONG a Hong Kong unit trust authorized under Section 104 of the Securities and Futures Ordinance (Cap 571) of Hong Kong Stock Code: 2800 Third Addendum Dated 30 April 2015 To The Prospectus Dated 24 June 2011 This Third Addendum forms an integral part of and should be read in conjunction with the prospectus dated 24 June 2011 , the first addendum dated 29 A ugust 2014 and the second addendum dated 31 Decemb er 2014 (together, the ""Prospectus"") in relation to Tracker F und of Hong Kong (""TraHK"")."
6,All information contained in the Prospectus is deemed to be incorporated herein.
7,"In the case of any conflict between this Third Addendum and the Prospectus, this Third Addendum shall prevail."
8,"If you are in any doubt about this Addendum, you should consult your stockbroker, bank manager, solicitor, professional accountant or other professional adviser."
9,"This Addendum forms an integral part of and should be read in conjunction with the Prospectus dated 24 June 2011, the first addendum dated 29 August 2014 and the second addendum dated 3 1 December 2014."
10,6411841-v1.2 10-40248241 Words and expressions not specifically defined herein will bear the same meaning s as those attributed to them in the Prospectus.
11,The Prospectus is hereby supplemented as follows: 1.
12,"The: (a) second paragraph under the section entitled ""Hong Kong Stamp Duty"" at page viii of the Prospectus; and (b) second and third paragraphs under the section entitled ""Stamp Duty "" at page 36 of the Prospectus, shall be deemed to be deleted and replaced with the following: ""Stamp duty is payable by TraHK on its purchase and sale of shares on the Stock Exchange (for example, when rebalancing its portfolio to reflect changes in the Hang Seng Index)."
13,"Pursuant to the Stamp Duty (Amendment) Ordinance 2015, stamp duty payable on any contract notes and instruments of the transfer for the transaction of shares or units of exchange traded funds traded on the Stock Exchange of Hong Kong Limited is waived with effect from 13 February 2015."
14,"No Hong Kong stamp duty is payable on an issue or redemption of Units or on the sale and purchase of Units in the secondary market."" 2."
15,"The information relating to "" Stamp Duty"" under ""Dealing on the Stock Exchange "" in the section entitled ""Fees Payable by Investors "" at page 32 and in note 6 on page 33 of the Prospectus shall be deemed to be deleted and replaced with the following: Stamp Duty6 ."
16,"Nil ""6 Pursuant to the Stamp Duty (Amendment) Ordinance 2015, stamp duty payable on any contract notes and instruments of the transfer for t he transaction of shares or units of exchange traded funds traded on the Stock Exchange of Hong Kong Limited is waived with effect from 13 February 2015."" 3."
17,"The section entitled "" Number of Constituents "" under Appendix II (The Hang Seng Index) to the Prospectus shall be deemed to be deleted and replaced with the following: ""Number of Constituents On 31 March 2015, the number of constituent companies in the Hang Seng Index was 50."
18,The constituent companies which comprise the Hang Seng Index include H -share constituents and may be changed by HSIL from time to time.
19,The list of constituents in the Hang Seng Index will be updated and published on the TraHK website from time to time to reflect the current composition.
20,""" "" 6411841-v1.2 10-40248241 As at 31 March 2015, the 10 largest constituent stocks by weighting of the Hang Seng Index were as follows: Issuer of Index Share HSI weighting HSBC Holdings plc 11.37% Tencent Holdings Ltd."
21,9.87% China Mobile Ltd.
22,7.38% AIA Group Ltd.
23,7.01% China Construction Bank Corp.
24,6.46% Industrial and Commerical Bank of China Ltd.
25,5.03% Bank of China Ltd.
26,4.24% China Life Insurance Co.
27,3.01% Ping An Insurance (Group) Co.
28,of China Ltd.
29,2.90% Hutchison Whampoa Ltd.
30,"2.74% "" The Manager accepts full responsibility for the accuracy of the i nformation contained in this Third Addendum as at the date of publication and confirm s, having made all reasonable enquiries, that to the best of its knowledge and belief there are no other facts the omission of which would make any statement in this Third Addendum misleading."
