sentence_id,text
0,"PROSPECTUS November 2014 Ping An of China CSI HK Dividend ETF Stock Code: 3070 Ping An of China CSI HK Mid Cap Select ETF Stock Code: 3072 Ping An of China CSI RAFI HK50 ETF Stock Code: 3098 The Stock Exchange of Hong Kong Limited, Hong Kong Securities Clearing Company Limited and the Hong Kong Securities and Futures Commission take no responsibility for the contents of this Prospectus, make no representation as to its accuracy or completeness and expre ssly disclaim any liability whatsoever for any loss howsoever arising from or in reliance upon the whole or any part of the contents of this Prospectus."
1,"Ea ch of the Ping An of China CSI HK Dividend ETF, the Ping An of China HK Mid Cap Select ETF and the Ping An of China CSI RAFI HK50 ETF has been autho rised as a collective investment scheme by the Hong Kong Securities and Futures Commission."
2,SFC authorization is not a recommendation or e ndorsement of a product nor does it guarantee the commercial merits of a product or its performance.
3,It does not mean the product is suitable f or all investors nor is it an endorsement of its suitability for any particular investor or class of investors.
4,"IMPORTANT: If you are in any doubt about the contents of this Prospectus, you should consult your stockbroker, bank manager, solicitor, accountant or other financial adviser."
5,Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 1 PRODUCT KEY FACTS Ping An of China CSI HK Dividend ETF a sub-fund of the Ping An of China Trust (Stock Code: 3070) June 2015 This is an exchange traded fund.
6,This statement provides you with key information about this product.
7,This statement is a part of the offering documents and must be read in conjunction with the Prospectus.
8,You should not invest in this product based on this statement alone.
9,"Quick facts Stock code: 3070 Trading lot size: 100 units Fund Manager: Ping An of China Asset Management (Hong Kong) Company Limited Underlying index: CSI Hong Kong Dividend Index Trustee: HSBC Institutional Trust Services (Asia) Limited Base currency: Hong Kong Dollars Ongoing charges 1.18% over a year*: Trading currency: Hong Kong Dollars Tracking difference of the -0.63% last calendar year†: Exchange listing: SEHK – Main Board Financial year end of this fund: 31 December Dividend policy: Semi-annually at the discretion of the Manager, usually in June and December ETF website: Manager’s website (http://asset.pingan.com.hk/eng/3070) What is this product?"
10,"The Ping An of China CSI HK Dividend ETF (“ HK Dividend ETF ”) is a sub -fund of the Ping An of China Trust, which is an umbrella unit trust established under Hong Kong law."
11,The HK Dividend ETF is a passively managed index tracking exchange traded fund under Chapter 8.6 and Appendix I of the SFC Code on Unit Trusts and Mutual Funds.
12,It is listed on The Stock Exchange of Hong Kong Limited (“ SEHK”).
13,The Units are traded on SEHK like listed stocks.
14,"* The ongoing charges figure is based on actual expenses in audited financial statements , excluding transactional costs for the year ended 31 December 2014."
15,This figure may vary from year to year.
16,† This is the actual tracking difference of the last calendar year ended 31 December 2014 .
17,Investors should refer to the ETF website for more up to date information on actual tracking difference.
18,Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 2 Objective and Investment Strategy Objective The HK Dividend ETF’s investment objective is to seek to track the performance of the CSI Hong Kong Dividend Index (the “Underlying Index”).
19,"Investment Strategy In order to achieve the investment objective, the HK Dividend ETF intends to primarily adopt a replication strategy to track the performance of the Underlying Index."
20,The HK Dividend ETF will directly invest in substantially all of the constituent Securities of the Underlying Inde x (“Index Shares”) in substantially the same weighting (i.e.
21,proportions) as these Index Shares have in the Underlying Index.
22,"Where the adoption of a replication strategy is not efficient or practicable, or otherwise at the Manager’s discretion, the HK Div idend ETF may pursue a representative sampling strategy and directly invests in a representative sample of the Index Shares."
23,"As a result, the HK Dividend ETF may or may not hold all of the Index Shares and the Manager may overweight certain of the Index Sh ares relative to the relevant Index Shares’ respective weightings in the Underlying Index."
24,The HK Dividend ETF may invest in non -Index Shares which are listed on the SEHK as the Manager considers appropriate.
25,"The HK Dividend ETF does not intend to invest in financial derivative instruments, futures contracts, options on futures contracts, options and swaps or local currency and foreign currency exchange contracts for hedging or investment purposes."
26,The HK Dividend ETF has no intention of having any direct or indirect exposure to China A Shares or B Shares as the Underlying Index does not comprise of China A Shares or B Shares.
27,"As at the date hereof, the HK Dividend ETF does not intend to engage in any stock lending or stock borrowing, or repurchase transactions or other similar OTC transactions."
28,"Any changes in respect of the Manager’s intention to enter into any stock lending or stock borrowing, or repurchase transactions is subject to the SFC’s prior approval and not less than one (1) month’s prior notice (or such other notice period as agreed with the SFC) will be given to Unitholders."
29,"The Manager may switch between the replication strategy and the representative sampling strategy without prior notice to investors, in its absolute discretion, and as often as it believes is appropriate in order to achieve the investment objective of the HK Dividend ETF by tracking the Underlying Index as closely as possible to the benefit of investors."
30,"The Underlying Index (Reuters RIC: CSIH11140) (Bloomberg Ticker: CSIH1140) The Underlying Index, launched on 23 July 2009, is a stock index which seeks to reflect the performance of high dividend yield securities in the Hong Kong market by selecting the 30 securities with high dividend yield, stable dividend payment and good liquidity from the entire universe of securities listed on the SEHK."
31,"The Underlying Index is compiled and managed by the China Securities Index Co., Ltd."
32,(the “ Index Provider”).
33,"As at 30 April 2015, the Underlying Index had a net market capitalization of HK$914 billion comprising 30 stocks listed on the SEHK from companies with operations in sectors ranging from utilities, financials, consumer discretionary and information technology, etc."
34,The Underlying Index does not have China A Share or B Share constit uent stocks.
35,"Ping An of China CSI HK Dividend ETF (Stock Code: 3070) 3 For more information, please refer to the section “Index” for the HK Dividend ETF on page 28 of the Prospectus."
36,"As at 30 April 2015, the top 10 constituent securities of the Underlying Index and their respective weightings are listed below for reference purpose: Stock Code Constituent Name Sector Weight (%) 1."
37,3988.HK Bank Of China Ltd-H Financials 11.15 2.
38,2388.HK BOC Hong Kong Holdings Ltd Financials 10.17 3.
39,0006.HK Power Assets Holdings Ltd Utilities 9.73 4.
40,0002.HK CLP Holdings Ltd Utilities 9.28 5.
41,0005.HK HSBC Holdings Plc Financials 9.00 6.
42,0823.HK Link REIT Financials 8.90 7.
43,0019.HK Swire Pacific Ltd A Financials 7.26 8.
44,0902.HK Huaneng Power Intl Inc-H Utilities 4.75 9.
